,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
71,71,0.9460194229976254,2025-01-02 04:16:21.119550,2025-01-02 04:16:23.695229,0 days 00:00:02.575679,1,40,,,,,,,,,,2,,,,,,,,,,COMPLETE
72,72,0.9432676589520779,2025-01-02 04:16:23.695606,2025-01-02 04:16:26.139526,0 days 00:00:02.443920,1,50,,,,,,,,,,2,,,,,,,,,,COMPLETE
73,73,0.9579746005920502,2025-01-02 04:16:26.139914,2025-01-02 04:16:28.904444,0 days 00:00:02.764530,1,35,,,,,,,,,,2,,,,,,,,,,COMPLETE
74,74,0.9454816313910672,2025-01-02 04:16:28.904837,2025-01-02 04:16:32.555973,0 days 00:00:03.651136,2,35,65.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
75,75,0.9443037904710312,2025-01-02 04:16:32.556372,2025-01-02 04:16:36.698883,0 days 00:00:04.142511,2,25,85.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
76,76,0.9524839034597128,2025-01-02 04:16:36.699365,2025-01-02 04:16:39.539629,0 days 00:00:02.840264,1,30,,,,,,,,,,2,,,,,,,,,,COMPLETE
77,77,0.9433276660999433,2025-01-02 04:16:39.539999,2025-01-02 04:16:46.251088,0 days 00:00:06.711089,3,100,90.0,45.0,,,,,,,,3,3.0,4.0,,,,,,,,COMPLETE
78,78,0.9405017538337006,2025-01-02 04:16:46.251524,2025-01-02 04:16:49.369180,0 days 00:00:03.117656,1,90,,,,,,,,,,2,,,,,,,,,,COMPLETE
79,79,0.9170850892136645,2025-01-02 04:16:49.369588,2025-01-02 04:17:10.160179,0 days 00:00:20.790591,8,20,100.0,75.0,20.0,5.0,55.0,5.0,100.0,,,4,2.0,4.0,2.0,2.0,2.0,3.0,6.0,,,COMPLETE
80,80,0.95229465216076,2025-01-02 04:17:10.160740,2025-01-02 04:17:20.949590,0 days 00:00:10.788850,4,55,75.0,30.0,5.0,,,,,,,3,3.0,6.0,6.0,,,,,,,COMPLETE
81,81,0.958688524590164,2025-01-02 04:17:20.950118,2025-01-02 04:17:23.510922,0 days 00:00:02.560804,1,40,,,,,,,,,,2,,,,,,,,,,COMPLETE
82,82,0.9611930444840926,2025-01-02 04:17:23.511391,2025-01-02 04:17:26.070362,0 days 00:00:02.558971,1,45,,,,,,,,,,2,,,,,,,,,,COMPLETE
83,83,0.9409530233998319,2025-01-02 04:17:26.070763,2025-01-02 04:17:28.749287,0 days 00:00:02.678524,1,45,,,,,,,,,,2,,,,,,,,,,COMPLETE
84,84,0.9444982753701386,2025-01-02 04:17:28.749663,2025-01-02 04:17:31.749117,0 days 00:00:02.999454,1,35,,,,,,,,,,2,,,,,,,,,,COMPLETE
85,85,0.9549998749996528,2025-01-02 04:17:31.749484,2025-01-02 04:17:36.086574,0 days 00:00:04.337090,2,50,65.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
86,86,0.9538230301116144,2025-01-02 04:17:36.087093,2025-01-02 04:17:39.001070,0 days 00:00:02.913977,1,40,,,,,,,,,,2,,,,,,,,,,COMPLETE
87,87,0.9448834260072188,2025-01-02 04:17:39.001450,2025-01-02 04:17:41.391027,0 days 00:00:02.389577,1,40,,,,,,,,,,2,,,,,,,,,,COMPLETE
88,88,0.9473676863892441,2025-01-02 04:17:41.391400,2025-01-02 04:17:44.822801,0 days 00:00:03.431401,2,45,50.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
89,89,0.9467709479219768,2025-01-02 04:17:44.823198,2025-01-02 04:17:47.435473,0 days 00:00:02.612275,1,30,,,,,,,,,,2,,,,,,,,,,COMPLETE
90,90,0.9593337814459345,2025-01-02 04:17:47.435858,2025-01-02 04:17:51.389438,0 days 00:00:03.953580,2,60,40.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
91,91,0.9402568849803286,2025-01-02 04:17:51.389844,2025-01-02 04:17:55.237131,0 days 00:00:03.847287,2,60,35.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
92,92,0.9488662552134273,2025-01-02 04:17:55.237530,2025-01-02 04:17:59.312938,0 days 00:00:04.075408,2,55,30.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
93,93,0.9500771047378578,2025-01-02 04:17:59.313349,2025-01-02 04:18:07.259541,0 days 00:00:07.946192,3,35,20.0,75.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
94,94,0.9376616915422885,2025-01-02 04:18:07.259991,2025-01-02 04:18:09.764386,0 days 00:00:02.504395,1,45,,,,,,,,,,2,,,,,,,,,,COMPLETE
95,95,0.9452857522820004,2025-01-02 04:18:09.764781,2025-01-02 04:18:13.656485,0 days 00:00:03.891704,2,40,40.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
96,96,0.9466637407326132,2025-01-02 04:18:13.656891,2025-01-02 04:18:22.406797,0 days 00:00:08.749906,4,50,40.0,10.0,25.0,,,,,,,2,2.0,4.0,3.0,,,,,,,COMPLETE
97,97,0.949997777679008,2025-01-02 04:18:22.407919,2025-01-02 04:18:25.024288,0 days 00:00:02.616369,1,65,,,,,,,,,,2,,,,,,,,,,COMPLETE
98,98,0.9431431767337808,2025-01-02 04:18:25.024680,2025-01-02 04:18:38.729725,0 days 00:00:13.705045,3,5,60.0,95.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
99,99,0.9474495531292085,2025-01-02 04:18:38.730186,2025-01-02 04:18:42.872690,0 days 00:00:04.142504,2,70,45.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
100,100,0.9541291040623261,2025-01-02 04:18:42.873181,2025-01-02 04:19:15.445849,0 days 00:00:32.572668,10,45,55.0,40.0,30.0,65.0,20.0,40.0,10.0,50.0,100.0,2,4.0,3.0,6.0,4.0,6.0,5.0,3.0,2.0,2.0,COMPLETE
101,101,0.9439906195036154,2025-01-02 04:19:15.446656,2025-01-02 04:19:19.884112,0 days 00:00:04.437456,2,50,95.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
102,102,0.9450885935769657,2025-01-02 04:19:19.884527,2025-01-02 04:19:23.809923,0 days 00:00:03.925396,2,55,100.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
103,103,0.9450492357555494,2025-01-02 04:19:23.810330,2025-01-02 04:19:26.233819,0 days 00:00:02.423489,1,15,,,,,,,,,,2,,,,,,,,,,COMPLETE
104,104,0.9591422960859146,2025-01-02 04:19:26.234208,2025-01-02 04:19:34.643073,0 days 00:00:08.408865,3,60,65.0,60.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
105,105,0.9416652082968742,2025-01-02 04:19:34.643506,2025-01-02 04:19:42.650564,0 days 00:00:08.007058,3,25,45.0,60.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
106,106,0.9441232121987868,2025-01-02 04:19:42.651001,2025-01-02 04:19:52.710155,0 days 00:00:10.059154,4,85,80.0,65.0,45.0,,,,,,,2,2.0,6.0,4.0,,,,,,,COMPLETE
107,107,0.9524621728557199,2025-01-02 04:19:52.710634,2025-01-02 04:20:00.727313,0 days 00:00:08.016679,3,60,90.0,55.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
108,108,0.9474537977395534,2025-01-02 04:20:00.727755,2025-01-02 04:20:08.743813,0 days 00:00:08.016058,3,40,95.0,70.0,,,,,,,,2,2.0,5.0,,,,,,,,COMPLETE
