,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
68,68,0.0,2025-01-01 08:26:44.711178,2025-01-01 08:26:53.744628,0 days 00:00:09.033450,18,25,190.0,150.0,150.0,5.0,105.0,200.0,180.0,90.0,80.0,,,105.0,145.0,50.0,50.0,75.0,35.0,105.0,45.0,3,6.0,4.0,5.0,5.0,4.0,2.0,6.0,2.0,4.0,,,6.0,5.0,2.0,3.0,3.0,6.0,3.0,5.0,COMPLETE
69,69,0.8798076923076923,2025-01-01 08:26:53.745400,2025-01-01 08:26:57.170561,0 days 00:00:03.425161,2,75,165.0,,,,,,,,,,,,,,,,,,,4,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.8792270531400965,2025-01-01 08:26:57.170937,2025-01-01 08:27:02.995615,0 days 00:00:05.824678,3,100,165.0,,,,,,,,,,,115.0,,,,,,,,4,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
71,71,0.8454545454545455,2025-01-01 08:27:02.996018,2025-01-01 08:27:09.262395,0 days 00:00:06.266377,3,95,165.0,,,,,,,,,,,120.0,,,,,,,,4,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
72,72,0.767156862745098,2025-01-01 08:27:09.262806,2025-01-01 08:27:13.175862,0 days 00:00:03.913056,2,75,155.0,,,,,,,,,,,,,,,,,,,4,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.0,2025-01-01 08:27:13.176261,2025-01-01 08:27:16.060249,0 days 00:00:02.883988,5,110,145.0,,,,,,,,,,,140.0,95.0,130.0,,,,,,4,3.0,,,,,,,,,,,5.0,2.0,5.0,,,,,,COMPLETE
74,74,0.7584541062801933,2025-01-01 08:27:16.060699,2025-01-01 08:27:18.920075,0 days 00:00:02.859376,1,125,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.8361204013377926,2025-01-01 08:27:18.920422,2025-01-01 08:27:25.935250,0 days 00:00:07.014828,3,100,170.0,,,,,,,,,,,155.0,,,,,,,,4,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
76,76,0.0,2025-01-01 08:27:25.935676,2025-01-01 08:27:28.406579,0 days 00:00:02.470903,4,90,180.0,,,,,,,,,,,130.0,180.0,,,,,,,4,2.0,,,,,,,,,,,5.0,4.0,,,,,,,COMPLETE
77,77,0.8999599839935974,2025-01-01 08:27:28.406994,2025-01-01 08:27:32.913112,0 days 00:00:04.506118,2,75,200.0,,,,,,,,,,,,,,,,,,,5,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
