,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
84,84,0.5445134575569358,2025-01-08 12:28:46.681699,2025-01-08 12:28:48.739243,0 days 00:00:02.057544,1,3,1,25,,,,,,,,,,,,,,,COMPLETE
85,85,0.5619047619047619,2025-01-08 12:28:48.740361,2025-01-08 12:28:52.792759,0 days 00:00:04.052398,3,3,1,30,40.0,,,,,,30.0,,,,,,,,COMPLETE
86,86,0.6719387755102041,2025-01-08 12:28:52.794130,2025-01-08 12:28:55.663191,0 days 00:00:02.869061,2,3,1,20,40.0,,,,,,,,,,,,,,COMPLETE
87,87,0.5834175935288171,2025-01-08 12:28:55.664967,2025-01-08 12:28:58.432511,0 days 00:00:02.767544,2,3,1,20,35.0,,,,,,,,,,,,,,COMPLETE
88,88,0.5445134575569358,2025-01-08 12:28:58.433744,2025-01-08 12:29:00.488144,0 days 00:00:02.054400,1,3,1,25,,,,,,,,,,,,,,,COMPLETE
89,89,0.6719387755102041,2025-01-08 12:29:00.489094,2025-01-08 12:29:03.355286,0 days 00:00:02.866192,2,3,1,20,40.0,,,,,,,,,,,,,,COMPLETE
90,90,0.5834175935288171,2025-01-08 12:29:03.356474,2025-01-08 12:29:06.023398,0 days 00:00:02.666924,2,3,1,20,35.0,,,,,,,,,,,,,,COMPLETE
91,91,0.715359828141783,2025-01-08 12:29:06.024624,2025-01-08 12:29:09.558441,0 days 00:00:03.533817,3,3,1,20,40.0,,,,,,25.0,,,,,,,,COMPLETE
92,92,0.6719387755102041,2025-01-08 12:29:09.559675,2025-01-08 12:29:12.426090,0 days 00:00:02.866415,2,3,1,20,40.0,,,,,,,,,,,,,,COMPLETE
93,93,0.6916979557780559,2025-01-08 12:29:12.427354,2025-01-08 12:29:14.528101,0 days 00:00:02.100747,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
94,94,0.5445134575569358,2025-01-08 12:29:14.529242,2025-01-08 12:29:16.677170,0 days 00:00:02.147928,1,3,1,25,,,,,,,,,,,,,,,COMPLETE
95,95,0.6916979557780559,2025-01-08 12:29:16.678423,2025-01-08 12:29:18.777421,0 days 00:00:02.098998,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
96,96,0.5445134575569358,2025-01-08 12:29:18.778514,2025-01-08 12:29:20.822926,0 days 00:00:02.044412,1,3,1,25,,,,,,,,,,,,,,,COMPLETE
97,97,0.6262254901960784,2025-01-08 12:29:20.834322,2025-01-08 12:29:23.482442,0 days 00:00:02.648120,1,5,1,35,,,,,,,,,,,,,,,COMPLETE
98,98,0.6916979557780559,2025-01-08 12:29:23.483737,2025-01-08 12:29:25.582649,0 days 00:00:02.098912,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
99,99,0.5445134575569358,2025-01-08 12:29:25.583734,2025-01-08 12:29:27.634078,0 days 00:00:02.050344,1,3,1,25,,,,,,,,,,,,,,,COMPLETE
100,100,0.5107142857142857,2025-01-08 12:29:27.645666,2025-01-08 12:29:30.566977,0 days 00:00:02.921311,1,5,1,40,,,,,,,,,,,,,,,COMPLETE
101,101,0.6371980676328503,2025-01-08 12:29:30.567753,2025-01-08 12:29:33.301353,0 days 00:00:02.733600,2,3,1,20,30.0,,,,,,,,,,,,,,COMPLETE
102,102,0.6164241164241164,2025-01-08 12:29:33.302657,2025-01-08 12:29:36.945126,0 days 00:00:03.642469,3,3,1,20,30.0,,,,,,25.0,,,,,,,,COMPLETE
103,103,0.6036036036036037,2025-01-08 12:29:36.946441,2025-01-08 12:29:40.243546,0 days 00:00:03.297105,2,3,1,30,35.0,,,,,,,,,,,,,,COMPLETE
104,104,0.6916979557780559,2025-01-08 12:29:40.244973,2025-01-08 12:29:42.352204,0 days 00:00:02.107231,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
105,105,0.6916979557780559,2025-01-08 12:29:42.353420,2025-01-08 12:29:44.451813,0 days 00:00:02.098393,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
106,106,0.5445134575569358,2025-01-08 12:29:44.453003,2025-01-08 12:29:46.497570,0 days 00:00:02.044567,1,3,1,25,,,,,,,,,,,,,,,COMPLETE
107,107,0.6916979557780559,2025-01-08 12:29:46.509269,2025-01-08 12:29:48.708130,0 days 00:00:02.198861,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
108,108,0.6916979557780559,2025-01-08 12:29:48.709354,2025-01-08 12:29:50.810519,0 days 00:00:02.101165,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
109,109,0.6916979557780559,2025-01-08 12:29:50.811725,2025-01-08 12:29:52.903179,0 days 00:00:02.091454,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
110,110,0.6916979557780559,2025-01-08 12:29:52.912297,2025-01-08 12:29:55.005407,0 days 00:00:02.093110,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
111,111,0.6916979557780559,2025-01-08 12:29:55.014400,2025-01-08 12:29:57.108256,0 days 00:00:02.093856,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
112,112,0.6916979557780559,2025-01-08 12:29:57.116509,2025-01-08 12:29:59.316158,0 days 00:00:02.199649,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
113,113,0.6916979557780559,2025-01-08 12:29:59.317271,2025-01-08 12:30:01.412627,0 days 00:00:02.095356,1,3,1,20,,,,,,,,,,,,,,,COMPLETE
114,114,0.49624060150375937,2025-01-08 12:30:01.420930,2025-01-08 12:30:04.239333,0 days 00:00:02.818403,2,5,1,25,25.0,,,,,,,,,,,,,,COMPLETE
