,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
87,87,0.876843400777827,2025-01-08 00:55:26.548579,2025-01-08 00:55:40.109341,0 days 00:00:13.560762,3,9,1,10,5.0,,,,,,25.0,,,,,,,,COMPLETE
88,88,0.8741626193217829,2025-01-08 00:55:40.110391,2025-01-08 00:55:51.741809,0 days 00:00:11.631418,1,9,2,20,,,,,,,,,,,,,,,COMPLETE
89,89,0.8807071454596018,2025-01-08 00:55:51.742588,2025-01-08 00:56:07.142051,0 days 00:00:15.399463,2,7,1,40,10.0,,,,,,,,,,,,,,COMPLETE
90,90,0.8983967731398896,2025-01-08 00:56:07.143010,2025-01-08 00:56:18.956202,0 days 00:00:11.813192,1,9,1,35,,,,,,,,,,,,,,,COMPLETE
91,91,0.8983967731398896,2025-01-08 00:56:18.957056,2025-01-08 00:56:30.642755,0 days 00:00:11.685699,1,9,1,35,,,,,,,,,,,,,,,COMPLETE
92,92,0.0,2025-01-08 00:56:30.643587,2025-01-08 00:57:14.853470,0 days 00:00:44.209883,9,9,1,35,25.0,,,,,,45.0,5.0,15.0,40.0,25.0,25.0,40.0,,COMPLETE
93,93,0.8533344643340475,2025-01-08 00:57:14.854326,2025-01-08 00:57:27.142155,0 days 00:00:12.287829,1,9,1,40,,,,,,,,,,,,,,,COMPLETE
94,94,0.8991898223953239,2025-01-08 00:57:27.143158,2025-01-08 00:57:37.306698,0 days 00:00:10.163540,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
95,95,0.8991898223953239,2025-01-08 00:57:37.307503,2025-01-08 00:57:47.477147,0 days 00:00:10.169644,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
96,96,0.8991898223953239,2025-01-08 00:57:47.477957,2025-01-08 00:57:57.649148,0 days 00:00:10.171191,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
97,97,0.8993251217088357,2025-01-08 00:57:57.649862,2025-01-08 00:58:14.389205,0 days 00:00:16.739343,2,9,2,25,15.0,,,,,,,,,,,,,,COMPLETE
98,98,0.8686604893158354,2025-01-08 00:58:14.390128,2025-01-08 00:58:56.355961,0 days 00:00:41.965833,7,9,2,25,15.0,,,,,,10.0,15.0,35.0,25.0,40.0,,,,COMPLETE
99,99,0.8512661771763095,2025-01-08 00:58:56.356770,2025-01-08 00:59:11.698002,0 days 00:00:15.341232,2,9,2,20,10.0,,,,,,,,,,,,,,COMPLETE
100,100,0.8839129977280802,2025-01-08 00:59:11.698878,2025-01-08 00:59:36.016335,0 days 00:00:24.317457,3,9,2,25,20.0,,,,,,50.0,,,,,,,,COMPLETE
101,101,0.8991898223953239,2025-01-08 00:59:36.017291,2025-01-08 00:59:46.184225,0 days 00:00:10.166934,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
102,102,0.8991898223953239,2025-01-08 00:59:46.184944,2025-01-08 00:59:56.358628,0 days 00:00:10.173684,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
103,103,0.8530312444337778,2025-01-08 00:59:56.359361,2025-01-08 01:00:09.481883,0 days 00:00:13.122522,2,9,1,25,5.0,,,,,,,,,,,,,,COMPLETE
104,104,0.8991898223953239,2025-01-08 01:00:09.482682,2025-01-08 01:00:19.648519,0 days 00:00:10.165837,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
105,105,0.888337629109847,2025-01-08 01:00:19.649317,2025-01-08 01:00:32.324219,0 days 00:00:12.674902,2,9,1,20,15.0,,,,,,,,,,,,,,COMPLETE
106,106,0.8991898223953239,2025-01-08 01:00:32.324966,2025-01-08 01:00:42.491538,0 days 00:00:10.166572,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
107,107,0.8732666983911996,2025-01-08 01:00:42.492212,2025-01-08 01:00:56.233369,0 days 00:00:13.741157,2,9,1,25,20.0,,,,,,,,,,,,,,COMPLETE
108,108,0.8601046017156364,2025-01-08 01:00:56.234106,2025-01-08 01:01:24.315768,0 days 00:00:28.081662,3,9,4,20,10.0,,,,,,30.0,,,,,,,,COMPLETE
109,109,0.8111343698535669,2025-01-08 01:01:24.316750,2025-01-08 01:01:34.317299,0 days 00:00:10.000549,1,1,1,25,,,,,,,,,,,,,,,COMPLETE
110,110,0.8847796583032213,2025-01-08 01:01:34.318001,2025-01-08 01:01:45.355340,0 days 00:00:11.037339,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
111,111,0.8991898223953239,2025-01-08 01:01:45.356219,2025-01-08 01:01:55.531932,0 days 00:00:10.175713,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
112,112,0.8991898223953239,2025-01-08 01:01:55.532703,2025-01-08 01:02:05.701945,0 days 00:00:10.169242,1,9,1,25,,,,,,,,,,,,,,,COMPLETE
113,113,0.8787877018544628,2025-01-08 01:02:05.702671,2025-01-08 01:02:19.206907,0 days 00:00:13.504236,2,9,1,25,15.0,,,,,,,,,,,,,,COMPLETE
