,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
109,109,0.865785823816704,2025-01-08 14:15:04.004279,2025-01-08 14:15:14.088420,0 days 00:00:10.084141,2,5,2,20,10.0,,,,,,,,,,,,,,COMPLETE
110,110,0.8847037272892565,2025-01-08 14:15:14.093992,2025-01-08 14:15:25.120123,0 days 00:00:11.026131,3,5,1,15,15.0,,,,,,35.0,,,,,,,,COMPLETE
111,111,0.8989612489488217,2025-01-08 14:15:25.123456,2025-01-08 14:15:32.054363,0 days 00:00:06.930907,1,5,2,15,,,,,,,,,,,,,,,COMPLETE
112,112,0.8989612489488217,2025-01-08 14:15:32.055349,2025-01-08 14:15:38.980602,0 days 00:00:06.925253,1,5,2,15,,,,,,,,,,,,,,,COMPLETE
113,113,0.8777699585992658,2025-01-08 14:15:38.985222,2025-01-08 14:15:48.405683,0 days 00:00:09.420461,2,5,2,15,20.0,,,,,,,,,,,,,,COMPLETE
114,114,0.8868887258011364,2025-01-08 14:15:48.410072,2025-01-08 14:15:54.886583,0 days 00:00:06.476511,1,5,2,10,,,,,,,,,,,,,,,COMPLETE
115,115,0.8472849562211203,2025-01-08 14:15:54.890025,2025-01-08 14:16:02.516764,0 days 00:00:07.626739,1,5,2,20,,,,,,,,,,,,,,,COMPLETE
116,116,0.8980272434294755,2025-01-08 14:16:02.523298,2025-01-08 14:16:12.740954,0 days 00:00:10.217656,2,5,3,15,10.0,,,,,,,,,,,,,,COMPLETE
117,117,0.9018177208460589,2025-01-08 14:16:12.745235,2025-01-08 14:16:21.818710,0 days 00:00:09.073475,2,5,2,15,10.0,,,,,,,,,,,,,,COMPLETE
118,118,0.9018177208460589,2025-01-08 14:16:21.822874,2025-01-08 14:16:30.894559,0 days 00:00:09.071685,2,5,2,15,10.0,,,,,,,,,,,,,,COMPLETE
119,119,0.9018177208460589,2025-01-08 14:16:30.898721,2025-01-08 14:16:39.970181,0 days 00:00:09.071460,2,5,2,15,10.0,,,,,,,,,,,,,,COMPLETE
120,120,0.8793791968785025,2025-01-08 14:16:39.974295,2025-01-08 14:16:50.514059,0 days 00:00:10.539764,3,5,2,10,10.0,,,,,,5.0,,,,,,,,COMPLETE
121,121,0.9018177208460589,2025-01-08 14:16:50.516945,2025-01-08 14:16:59.587469,0 days 00:00:09.070524,2,5,2,15,10.0,,,,,,,,,,,,,,COMPLETE
122,122,0.9058225672488682,2025-01-08 14:16:59.591585,2025-01-08 14:17:08.641556,0 days 00:00:09.049971,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
123,123,0.9058225672488682,2025-01-08 14:17:08.645776,2025-01-08 14:17:17.694712,0 days 00:00:09.048936,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
124,124,0.8896699434190334,2025-01-08 14:17:17.698807,2025-01-08 14:17:29.206994,0 days 00:00:11.508187,3,5,2,15,5.0,,,,,,25.0,,,,,,,,COMPLETE
125,125,0.883188466439698,2025-01-08 14:17:29.211227,2025-01-08 14:17:47.267939,0 days 00:00:18.056712,4,5,2,15,5.0,,,,,,45.0,50.0,,,,,,,COMPLETE
126,126,0.8800832482774774,2025-01-08 14:17:47.269197,2025-01-08 14:17:55.824856,0 days 00:00:08.555659,2,5,2,10,10.0,,,,,,,,,,,,,,COMPLETE
127,127,0.9058225672488682,2025-01-08 14:17:55.826811,2025-01-08 14:18:04.876486,0 days 00:00:09.049675,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
128,128,0.9058225672488682,2025-01-08 14:18:04.880545,2025-01-08 14:18:13.928681,0 days 00:00:09.048136,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
129,129,0.8896248713293682,2025-01-08 14:18:13.932709,2025-01-08 14:18:25.177984,0 days 00:00:11.245275,3,5,2,15,5.0,,,,,,20.0,,,,,,,,COMPLETE
130,130,0.8686182577440331,2025-01-08 14:18:25.182238,2025-01-08 14:18:37.445945,0 days 00:00:12.263707,4,5,2,10,5.0,,,,,,5.0,10.0,,,,,,,COMPLETE
131,131,0.9058225672488682,2025-01-08 14:18:37.448795,2025-01-08 14:18:46.498622,0 days 00:00:09.049827,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
132,132,0.8072806905485572,2025-01-08 14:18:46.502822,2025-01-08 14:18:55.366422,0 days 00:00:08.863600,2,3,2,15,5.0,,,,,,,,,,,,,,COMPLETE
133,133,0.9058225672488682,2025-01-08 14:18:55.370441,2025-01-08 14:19:04.418756,0 days 00:00:09.048315,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
134,134,0.8794731621984841,2025-01-08 14:19:04.422746,2025-01-08 14:19:15.528937,0 days 00:00:11.106191,3,5,2,15,5.0,,,,,,15.0,,,,,,,,COMPLETE
135,135,0.9058225672488682,2025-01-08 14:19:15.533069,2025-01-08 14:19:24.581156,0 days 00:00:09.048087,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
136,136,0.9058225672488682,2025-01-08 14:19:24.585204,2025-01-08 14:19:33.632752,0 days 00:00:09.047548,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
137,137,0.9058225672488682,2025-01-08 14:19:33.636789,2025-01-08 14:19:42.688244,0 days 00:00:09.051455,2,5,2,15,5.0,,,,,,,,,,,,,,COMPLETE
