,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
106,106,0.7055813953488372,2025-01-08 10:14:27.013168,2025-01-08 10:14:30.182477,0 days 00:00:03.169309,2,9,1,10,25.0,,,,,,,,,,,,,,COMPLETE
107,107,0.7726333195535345,2025-01-08 10:14:30.183427,2025-01-08 10:14:32.439898,0 days 00:00:02.256471,1,5,1,5,,,,,,,,,,,,,,,COMPLETE
108,108,0.755,2025-01-08 10:14:32.445521,2025-01-08 10:14:36.280290,0 days 00:00:03.834769,3,5,1,10,10.0,,,,,,50.0,,,,,,,,COMPLETE
109,109,0.7751436781609196,2025-01-08 10:14:36.281273,2025-01-08 10:14:38.318968,0 days 00:00:02.037695,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
110,110,0.7726333195535345,2025-01-08 10:14:38.319701,2025-01-08 10:14:40.570656,0 days 00:00:02.250955,1,5,1,5,,,,,,,,,,,,,,,COMPLETE
111,111,0.7751436781609196,2025-01-08 10:14:40.578161,2025-01-08 10:14:42.589605,0 days 00:00:02.011444,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
112,112,0.7751436781609196,2025-01-08 10:14:42.596051,2025-01-08 10:14:44.608529,0 days 00:00:02.012478,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
113,113,0.825925925925926,2025-01-08 10:14:44.615090,2025-01-08 10:14:47.909875,0 days 00:00:03.294785,3,5,1,5,5.0,,,,,,20.0,,,,,,,,COMPLETE
114,114,0.6192135390741662,2025-01-08 10:14:47.916687,2025-01-08 10:14:51.048095,0 days 00:00:03.131408,3,5,1,5,10.0,,,,,,20.0,,,,,,,,COMPLETE
115,115,0.4561497326203209,2025-01-08 10:14:51.054953,2025-01-08 10:14:54.705073,0 days 00:00:03.650120,3,7,1,10,5.0,,,,,,30.0,,,,,,,,COMPLETE
116,116,0.6192135390741662,2025-01-08 10:14:54.705957,2025-01-08 10:14:57.938790,0 days 00:00:03.232833,3,5,1,5,10.0,,,,,,20.0,,,,,,,,COMPLETE
117,117,0.7751436781609196,2025-01-08 10:14:57.946013,2025-01-08 10:14:59.963111,0 days 00:00:02.017098,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
118,118,0.725837504813246,2025-01-08 10:14:59.969590,2025-01-08 10:15:02.033662,0 days 00:00:02.064072,1,5,1,10,,,,,,,,,,,,,,,COMPLETE
119,119,0.40865384615384615,2025-01-08 10:15:02.034536,2025-01-08 10:15:05.674891,0 days 00:00:03.640355,4,5,1,5,5.0,,,,,,15.0,30.0,,,,,,,COMPLETE
120,120,0.702939885914875,2025-01-08 10:15:05.675690,2025-01-08 10:15:09.023394,0 days 00:00:03.347704,3,5,1,5,30.0,,,,,,20.0,,,,,,,,COMPLETE
121,121,0.7751436781609196,2025-01-08 10:15:09.024377,2025-01-08 10:15:11.041856,0 days 00:00:02.017479,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
122,122,0.7751436781609196,2025-01-08 10:15:11.048420,2025-01-08 10:15:13.066922,0 days 00:00:02.018502,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
123,123,0.7751436781609196,2025-01-08 10:15:13.067679,2025-01-08 10:15:15.079951,0 days 00:00:02.012272,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
124,124,0.7726333195535345,2025-01-08 10:15:15.086371,2025-01-08 10:15:17.338070,0 days 00:00:02.251699,1,5,1,5,,,,,,,,,,,,,,,COMPLETE
125,125,0.765791632485644,2025-01-08 10:15:17.345583,2025-01-08 10:15:20.536032,0 days 00:00:03.190449,2,5,1,10,5.0,,,,,,,,,,,,,,COMPLETE
126,126,0.601923076923077,2025-01-08 10:15:20.536893,2025-01-08 10:15:23.670824,0 days 00:00:03.133931,3,5,1,5,10.0,,,,,,25.0,,,,,,,,COMPLETE
127,127,0.7751436781609196,2025-01-08 10:15:23.671635,2025-01-08 10:15:25.691394,0 days 00:00:02.019759,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
128,128,0.7726333195535345,2025-01-08 10:15:25.692105,2025-01-08 10:15:27.943569,0 days 00:00:02.251464,1,5,1,5,,,,,,,,,,,,,,,COMPLETE
129,129,0.0,2025-01-08 10:15:27.951120,2025-01-08 10:15:33.663055,0 days 00:00:05.711935,7,5,1,10,5.0,,,,,,30.0,15.0,30.0,35.0,25.0,,,,COMPLETE
130,130,0.47777777777777775,2025-01-08 10:15:33.664180,2025-01-08 10:15:36.768295,0 days 00:00:03.104115,3,5,1,5,5.0,,,,,,15.0,,,,,,,,COMPLETE
131,131,0.7751436781609196,2025-01-08 10:15:36.775013,2025-01-08 10:15:38.896238,0 days 00:00:02.121225,2,5,1,5,5.0,,,,,,,,,,,,,,COMPLETE
