,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
65,65,0.7019230769230769,2024-12-29 14:22:42.334581,2024-12-29 14:22:53.769953,0 days 00:00:11.435372,1,14,,,,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.8380355276907001,2024-12-29 14:22:53.770455,2024-12-29 14:22:59.791323,0 days 00:00:06.020868,3,6,5.0,,,,,,,,,,,4.0,,,,,,,,75,110.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
67,67,0.849624060150376,2024-12-29 14:22:59.791687,2024-12-29 14:23:09.380891,0 days 00:00:09.589204,2,10,7.0,,,,,,,,,,,,,,,,,,,115,145.0,,,,,,,,,,,,,,,,,,,COMPLETE
68,68,0.8777777777777778,2024-12-29 14:23:09.381221,2024-12-29 14:23:21.825859,0 days 00:00:12.444638,3,12,1.0,,,,,,,,,,,14.0,,,,,,,,180,165.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
69,69,0.87042842215256,2024-12-29 14:23:21.826228,2024-12-29 14:23:37.226897,0 days 00:00:15.400669,4,12,1.0,,,,,,,,,,,14.0,1.0,,,,,,,165,200.0,,,,,,,,,,,55.0,95.0,,,,,,,COMPLETE
70,70,0.39893617021276595,2024-12-29 14:23:37.227475,2024-12-29 14:23:58.272986,0 days 00:00:21.045511,6,12,1.0,,,,,,,,,,,14.0,1.0,7.0,14.0,,,,,165,170.0,,,,,,,,,,,45.0,95.0,35.0,170.0,,,,,COMPLETE
71,71,0.8452380952380952,2024-12-29 14:23:58.273421,2024-12-29 14:24:10.842992,0 days 00:00:12.569571,3,12,1.0,,,,,,,,,,,12.0,,,,,,,,155,190.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
72,72,0.44093567251461985,2024-12-29 14:24:10.843563,2024-12-29 14:24:25.661349,0 days 00:00:14.817786,4,10,2.0,,,,,,,,,,,13.0,4.0,,,,,,,180,200.0,,,,,,,,,,,40.0,55.0,,,,,,,COMPLETE
73,73,0.7072697003329633,2024-12-29 14:24:25.661752,2024-12-29 14:24:36.421369,0 days 00:00:10.759617,1,13,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.4224935257121717,2024-12-29 14:24:36.421715,2024-12-29 14:24:58.768951,0 days 00:00:22.347236,5,11,3.0,,,,,,,,,,,15.0,6.0,5.0,,,,,,150,185.0,,,,,,,,,,,70.0,70.0,100.0,,,,,,COMPLETE
