,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
42,42,0.0,2025-01-02 23:18:49.530820,2025-01-02 23:18:58.150596,0 days 00:00:08.619776,18,125,190.0,100.0,65.0,200.0,80.0,180.0,110.0,200.0,190.0,,,30.0,25.0,120.0,115.0,90.0,35.0,200.0,135.0,2,5.0,5.0,5.0,4.0,4.0,3.0,4.0,6.0,2.0,,,6.0,3.0,2.0,2.0,3.0,6.0,2.0,2.0,6,6.0,5.0,4.0,4.0,6.0,4.0,2.0,2.0,6.0,,,6.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,COMPLETE
43,43,0.0,2025-01-02 23:18:58.152734,2025-01-02 23:19:03.819500,0 days 00:00:05.666766,13,140,150.0,165.0,145.0,70.0,,,,,,,,55.0,15.0,150.0,35.0,130.0,85.0,160.0,60.0,6,3.0,6.0,5.0,2.0,,,,,,,,6.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,5,5.0,5.0,6.0,2.0,,,,,,,,5.0,4.0,2.0,4.0,2.0,2.0,5.0,3.0,COMPLETE
44,44,0.666599597585513,2025-01-02 23:19:03.821471,2025-01-02 23:19:12.878803,0 days 00:00:09.057332,14,155,125.0,110.0,45.0,145.0,5.0,,,,,,,30.0,95.0,180.0,85.0,60.0,80.0,125.0,140.0,3,4.0,4.0,3.0,6.0,3.0,,,,,,,5.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,4,4.0,3.0,5.0,4.0,3.0,,,,,,,6.0,3.0,3.0,5.0,4.0,5.0,6.0,5.0,COMPLETE
45,45,0.0,2025-01-02 23:19:12.880024,2025-01-02 23:19:16.851457,0 days 00:00:03.971433,10,95,180.0,,,,,,,,,,,95.0,60.0,95.0,50.0,170.0,130.0,55.0,200.0,2,5.0,,,,,,,,,,,4.0,3.0,3.0,2.0,3.0,6.0,4.0,5.0,6,5.0,,,,,,,,,,,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,COMPLETE
46,46,0.666599597585513,2025-01-02 23:19:16.852911,2025-01-02 23:19:24.312865,0 days 00:00:07.459954,19,15,195.0,10.0,120.0,25.0,135.0,100.0,90.0,105.0,120.0,5.0,,75.0,30.0,185.0,125.0,100.0,35.0,175.0,85.0,4,3.0,3.0,4.0,3.0,4.0,6.0,5.0,4.0,3.0,2.0,,5.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3,6.0,4.0,2.0,3.0,5.0,6.0,6.0,4.0,4.0,6.0,,6.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,COMPLETE
47,47,0.20714285714285713,2025-01-02 23:19:24.314481,2025-01-02 23:19:27.422144,0 days 00:00:03.107663,2,50,200.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.0,2025-01-02 23:19:27.422771,2025-01-02 23:19:33.651940,0 days 00:00:06.229169,12,35,70.0,50.0,10.0,,,,,,,,,115.0,80.0,125.0,5.0,70.0,55.0,85.0,45.0,3,2.0,5.0,6.0,,,,,,,,,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5,5.0,5.0,4.0,,,,,,,,,5.0,4.0,3.0,6.0,5.0,5.0,6.0,5.0,COMPLETE
49,49,0.0,2025-01-02 23:19:33.653842,2025-01-02 23:19:39.503578,0 days 00:00:05.849736,17,125,165.0,175.0,80.0,165.0,50.0,135.0,160.0,5.0,,,,185.0,60.0,105.0,165.0,30.0,95.0,125.0,5.0,4,5.0,6.0,2.0,5.0,2.0,4.0,2.0,4.0,,,,3.0,2.0,5.0,2.0,6.0,4.0,2.0,3.0,3,3.0,3.0,3.0,6.0,3.0,4.0,3.0,4.0,,,,3.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,COMPLETE
50,50,0.5416666666666667,2025-01-02 23:19:39.504960,2025-01-02 23:19:41.923645,0 days 00:00:02.418685,1,60,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
51,51,0.0,2025-01-02 23:19:41.924210,2025-01-02 23:19:50.739761,0 days 00:00:08.815551,14,160,125.0,105.0,50.0,130.0,10.0,,,,,,,30.0,105.0,190.0,85.0,55.0,75.0,115.0,130.0,3,4.0,4.0,3.0,6.0,3.0,,,,,,,6.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,4,4.0,3.0,5.0,4.0,3.0,,,,,,,6.0,3.0,3.0,5.0,4.0,5.0,6.0,5.0,COMPLETE
