,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
47,47,0.0,2025-01-02 23:08:07.956236,2025-01-02 23:08:13.952891,0 days 00:00:05.996655,12,190,155.0,95.0,155.0,,,,,,,,,195.0,95.0,150.0,105.0,75.0,5.0,145.0,145.0,2,4.0,4.0,4.0,,,,,,,,,4.0,2.0,6.0,3.0,2.0,3.0,5.0,3.0,2,6.0,4.0,5.0,,,,,,,,,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,COMPLETE
48,48,0.7066518023039763,2025-01-02 23:08:13.954504,2025-01-02 23:08:19.405973,0 days 00:00:05.451469,4,115,185.0,,,,,,,,,,,180.0,200.0,,,,,,,4,2.0,,,,,,,,,,,2.0,4.0,,,,,,,2,3.0,,,,,,,,,,,3.0,6.0,,,,,,,COMPLETE
49,49,0.6840329835082459,2025-01-02 23:08:19.406680,2025-01-02 23:08:29.647339,0 days 00:00:10.240659,6,135,150.0,,,,,,,,,,,180.0,25.0,110.0,180.0,,,,,3,3.0,,,,,,,,,,,6.0,5.0,3.0,5.0,,,,,2,5.0,,,,,,,,,,,2.0,5.0,5.0,3.0,,,,,COMPLETE
50,50,0.0,2025-01-02 23:08:29.648314,2025-01-02 23:08:35.426015,0 days 00:00:05.777701,17,100,135.0,145.0,5.0,80.0,100.0,120.0,10.0,10.0,,,,85.0,65.0,130.0,135.0,35.0,45.0,70.0,45.0,5,5.0,5.0,5.0,3.0,2.0,6.0,2.0,6.0,,,,5.0,3.0,5.0,6.0,6.0,4.0,3.0,5.0,5,3.0,5.0,2.0,6.0,2.0,2.0,2.0,6.0,,,,4.0,3.0,3.0,2.0,6.0,2.0,3.0,5.0,COMPLETE
51,51,0.7568630733177101,2025-01-02 23:08:35.427618,2025-01-02 23:08:37.984353,0 days 00:00:02.556735,2,130,85.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.7946428571428572,2025-01-02 23:08:37.984881,2025-01-02 23:08:39.673226,0 days 00:00:01.688345,1,115,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.7601146601146601,2025-01-02 23:08:39.673691,2025-01-02 23:08:41.742973,0 days 00:00:02.069282,1,110,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.6634615384615384,2025-01-02 23:08:41.743445,2025-01-02 23:08:52.642136,0 days 00:00:10.898691,3,150,185.0,,,,,,,,,,,20.0,,,,,,,,6,4.0,,,,,,,,,,,3.0,,,,,,,,6,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
55,55,0.0,2025-01-02 23:08:52.643044,2025-01-02 23:08:53.461663,0 days 00:00:00.818619,3,120,115.0,,,,,,,,,,,200.0,,,,,,,,5,2.0,,,,,,,,,,,2.0,,,,,,,,3,2.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
56,56,0.7600753604193972,2025-01-02 23:08:53.462223,2025-01-02 23:08:54.212757,0 days 00:00:00.750534,1,95,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.8300183720744468,2025-01-02 23:08:54.213215,2025-01-02 23:08:55.505478,0 days 00:00:01.292263,1,170,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
