,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
47,47,0.877908060264535,2025-01-02 23:41:17.141620,2025-01-02 23:41:30.961220,0 days 00:00:13.819600,3,130,190.0,,,,,,,,,,,5.0,,,,,,,,4,6.0,,,,,,,,,,,4.0,,,,,,,,3,2.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
48,48,0.7062670870820889,2025-01-02 23:41:30.961970,2025-01-02 23:41:44.472749,0 days 00:00:13.510779,3,155,195.0,,,,,,,,,,,5.0,,,,,,,,4,6.0,,,,,,,,,,,4.0,,,,,,,,2,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
49,49,0.8145751372516465,2025-01-02 23:41:44.473473,2025-01-02 23:41:47.312137,0 days 00:00:02.838664,1,135,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.8785272878766838,2025-01-02 23:41:47.312727,2025-01-02 23:42:13.936853,0 days 00:00:26.624126,4,170,190.0,,,,,,,,,,,15.0,175.0,,,,,,,4,6.0,,,,,,,,,,,4.0,6.0,,,,,,,2,2.0,,,,,,,,,,,6.0,5.0,,,,,,,COMPLETE
51,51,0.8681522434506739,2025-01-02 23:42:13.937868,2025-01-02 23:42:41.566687,0 days 00:00:27.628819,4,175,190.0,,,,,,,,,,,20.0,185.0,,,,,,,4,6.0,,,,,,,,,,,4.0,6.0,,,,,,,2,2.0,,,,,,,,,,,6.0,5.0,,,,,,,COMPLETE
52,52,0.7472956992060585,2025-01-02 23:42:41.567810,2025-01-02 23:42:58.601231,0 days 00:00:17.033421,3,185,200.0,,,,,,,,,,,15.0,,,,,,,,4,6.0,,,,,,,,,,,5.0,,,,,,,,2,2.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
53,53,0.8592779193395967,2025-01-02 23:42:58.602054,2025-01-02 23:43:09.633260,0 days 00:00:11.031206,2,110,175.0,,,,,,,,,,,,,,,,,,,4,6.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.8783703878902555,2025-01-02 23:43:09.633924,2025-01-02 23:43:26.677719,0 days 00:00:17.043795,4,130,70.0,,,,,,,,,,,5.0,175.0,,,,,,,2,6.0,,,,,,,,,,,4.0,5.0,,,,,,,3,2.0,,,,,,,,,,,5.0,5.0,,,,,,,COMPLETE
55,55,0.7010514407627902,2025-01-02 23:43:26.678710,2025-01-02 23:43:47.146814,0 days 00:00:20.468104,4,130,70.0,,,,,,,,,,,5.0,180.0,,,,,,,2,6.0,,,,,,,,,,,4.0,6.0,,,,,,,2,3.0,,,,,,,,,,,5.0,5.0,,,,,,,COMPLETE
56,56,0.6944191050873816,2025-01-02 23:43:47.147942,2025-01-02 23:44:14.622186,0 days 00:00:27.474244,6,95,55.0,,,,,,,,,,,15.0,175.0,45.0,140.0,,,,,3,6.0,,,,,,,,,,,4.0,5.0,3.0,5.0,,,,,3,3.0,,,,,,,,,,,6.0,6.0,5.0,2.0,,,,,COMPLETE
