,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
71,71,0.8595628415300547,2025-01-03 17:52:28.880966,2025-01-03 17:52:53.618644,0 days 00:00:24.737678,6,100,65.0,90.0,65.0,70.0,20.0,,,,,4,3.0,5.0,3.0,5.0,3.0,,,,,COMPLETE
72,72,0.7965517241379311,2025-01-03 17:52:53.619373,2025-01-03 17:53:16.372167,0 days 00:00:22.752794,5,100,75.0,80.0,45.0,40.0,,,,,,4,3.0,5.0,3.0,5.0,,,,,,COMPLETE
73,73,0.8126984126984127,2025-01-03 17:53:16.372750,2025-01-03 17:53:33.830360,0 days 00:00:17.457610,4,95,70.0,85.0,35.0,,,,,,,4,3.0,5.0,3.0,,,,,,,COMPLETE
74,74,0.7408568443051202,2025-01-03 17:53:33.830886,2025-01-03 17:54:04.009329,0 days 00:00:30.178443,7,90,55.0,60.0,50.0,50.0,15.0,80.0,,,,4,4.0,5.0,3.0,5.0,4.0,4.0,,,,COMPLETE
75,75,0.903125,2025-01-03 17:54:04.010097,2025-01-03 17:54:36.919759,0 days 00:00:32.909662,6,85,60.0,70.0,25.0,65.0,5.0,,,,,5,4.0,6.0,2.0,5.0,6.0,,,,,COMPLETE
76,76,0.7898305084745763,2025-01-03 17:54:36.920449,2025-01-03 17:55:22.833298,0 days 00:00:45.912849,8,85,50.0,55.0,25.0,65.0,5.0,90.0,15.0,,,5,4.0,6.0,2.0,5.0,6.0,5.0,4.0,,,COMPLETE
77,77,0.8264705882352941,2025-01-03 17:55:22.834077,2025-01-03 17:55:54.570728,0 days 00:00:31.736651,7,80,60.0,55.0,20.0,75.0,10.0,95.0,,,,5,4.0,6.0,2.0,6.0,6.0,3.0,,,,COMPLETE
78,78,0.80625,2025-01-03 17:55:54.571394,2025-01-03 17:56:19.739350,0 days 00:00:25.167956,5,95,5.0,75.0,25.0,80.0,,,,,,5,5.0,6.0,2.0,4.0,,,,,,COMPLETE
79,79,0.8225344782721832,2025-01-03 17:56:19.739914,2025-01-03 17:56:50.086538,0 days 00:00:30.346624,6,65,20.0,65.0,10.0,35.0,10.0,,,,,6,4.0,3.0,2.0,5.0,6.0,,,,,COMPLETE
80,80,0.7968253968253969,2025-01-03 17:56:50.087135,2025-01-03 17:57:08.072781,0 days 00:00:17.985646,3,85,55.0,70.0,,,,,,,,5,4.0,6.0,,,,,,,,COMPLETE
81,81,0.8159242191500256,2025-01-03 17:57:08.073386,2025-01-03 17:57:34.573257,0 days 00:00:26.499871,6,95,70.0,100.0,40.0,60.0,15.0,,,,,5,3.0,6.0,3.0,5.0,5.0,,,,,COMPLETE
82,82,0.7416666666666667,2025-01-03 17:57:34.573907,2025-01-03 17:58:00.532398,0 days 00:00:25.958491,6,100,65.0,90.0,15.0,65.0,20.0,,,,,4,2.0,6.0,3.0,5.0,6.0,,,,,COMPLETE
83,83,0.7889499869075673,2025-01-03 17:58:00.532966,2025-01-03 17:58:36.867327,0 days 00:00:36.334361,7,85,60.0,95.0,30.0,55.0,30.0,100.0,,,,3,6.0,5.0,2.0,5.0,5.0,4.0,,,,COMPLETE
84,84,0.7580015612802498,2025-01-03 17:58:36.868067,2025-01-03 17:58:57.164988,0 days 00:00:20.296921,5,90,50.0,75.0,35.0,100.0,,,,,,6,2.0,5.0,3.0,3.0,,,,,,COMPLETE
85,85,0.8387096774193549,2025-01-03 17:58:57.165599,2025-01-03 17:59:56.535086,0 days 00:00:59.369487,10,100,60.0,85.0,25.0,85.0,5.0,85.0,75.0,70.0,35.0,5,3.0,4.0,5.0,6.0,2.0,6.0,3.0,6.0,5.0,COMPLETE
86,86,0.80625,2025-01-03 17:59:56.535948,2025-01-03 18:00:43.417825,0 days 00:00:46.881877,9,95,70.0,95.0,55.0,45.0,45.0,15.0,40.0,45.0,,4,5.0,6.0,3.0,5.0,3.0,5.0,5.0,5.0,,COMPLETE
87,87,0.8221642764015646,2025-01-03 18:00:43.418609,2025-01-03 18:01:22.843804,0 days 00:00:39.425195,8,85,40.0,80.0,30.0,90.0,60.0,70.0,85.0,,,3,6.0,6.0,4.0,5.0,4.0,2.0,5.0,,,COMPLETE
88,88,0.8064516129032258,2025-01-03 18:01:22.844601,2025-01-03 18:01:56.738180,0 days 00:00:33.893579,7,90,55.0,90.0,45.0,50.0,10.0,30.0,,,,6,3.0,3.0,4.0,6.0,5.0,3.0,,,,COMPLETE
89,89,0.7793103448275862,2025-01-03 18:01:56.738850,2025-01-03 18:02:27.091893,0 days 00:00:30.353043,6,80,65.0,70.0,35.0,95.0,50.0,,,,,5,2.0,5.0,3.0,4.0,6.0,,,,,COMPLETE
90,90,0.8221642764015646,2025-01-03 18:02:27.092486,2025-01-03 18:03:01.001369,0 days 00:00:33.908883,8,60,30.0,100.0,60.0,70.0,35.0,85.0,95.0,,,2,2.0,5.0,2.0,6.0,6.0,5.0,2.0,,,COMPLETE
91,91,0.8291777188328913,2025-01-03 18:03:01.002130,2025-01-03 18:03:35.720675,0 days 00:00:34.718545,7,95,45.0,75.0,25.0,75.0,100.0,95.0,,,,4,4.0,6.0,3.0,6.0,3.0,5.0,,,,COMPLETE
92,92,0.829190904283448,2025-01-03 18:03:35.721320,2025-01-03 18:04:04.222774,0 days 00:00:28.501454,6,90,45.0,80.0,15.0,65.0,90.0,,,,,4,4.0,6.0,3.0,6.0,2.0,,,,,COMPLETE
93,93,0.8548009367681498,2025-01-03 18:04:04.223481,2025-01-03 18:04:26.020914,0 days 00:00:21.797433,7,95,45.0,65.0,40.0,75.0,55.0,95.0,,,,5,4.0,6.0,4.0,6.0,3.0,5.0,,,,COMPLETE
94,94,0.7732497387669801,2025-01-03 18:04:26.021602,2025-01-03 18:05:06.014970,0 days 00:00:39.993368,7,100,35.0,70.0,25.0,55.0,85.0,90.0,,,,4,4.0,6.0,3.0,6.0,4.0,6.0,,,,COMPLETE
