,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
63,63,0.8479111750139787,2025-01-04 07:04:08.273506,2025-01-04 07:04:36.021981,0 days 00:00:27.748475,8,45,80.0,70.0,70.0,75.0,75.0,40.0,5.0,,,2,3.0,6.0,6.0,3.0,6.0,6.0,3.0,,,COMPLETE
64,64,0.7766254487435182,2025-01-04 07:04:36.022751,2025-01-04 07:05:10.098925,0 days 00:00:34.076174,9,30,80.0,65.0,75.0,75.0,75.0,40.0,5.0,5.0,,2,3.0,6.0,6.0,2.0,3.0,6.0,3.0,3.0,,COMPLETE
65,65,0.7730543379373087,2025-01-04 07:05:10.099671,2025-01-04 07:05:48.348433,0 days 00:00:38.248762,8,40,95.0,50.0,85.0,65.0,60.0,25.0,20.0,,,2,2.0,6.0,6.0,3.0,6.0,6.0,3.0,,,COMPLETE
66,66,0.7944954128440367,2025-01-04 07:05:48.349099,2025-01-04 07:06:20.613075,0 days 00:00:32.263976,8,25,90.0,70.0,70.0,55.0,75.0,45.0,50.0,,,2,3.0,6.0,4.0,2.0,5.0,5.0,2.0,,,COMPLETE
67,67,0.7678571428571429,2025-01-04 07:06:20.613823,2025-01-04 07:07:00.220846,0 days 00:00:39.607023,10,35,80.0,75.0,80.0,70.0,80.0,60.0,5.0,65.0,100.0,2,2.0,6.0,2.0,3.0,2.0,6.0,4.0,6.0,2.0,COMPLETE
68,68,0.7666666666666666,2025-01-04 07:07:00.221538,2025-01-04 07:07:40.389057,0 days 00:00:40.167519,8,45,85.0,55.0,60.0,65.0,5.0,30.0,25.0,,,2,3.0,5.0,5.0,2.0,6.0,4.0,3.0,,,COMPLETE
69,69,0.7856459330143541,2025-01-04 07:07:40.389808,2025-01-04 07:08:21.289418,0 days 00:00:40.899610,9,20,60.0,60.0,45.0,85.0,55.0,10.0,50.0,30.0,,3,4.0,2.0,2.0,6.0,6.0,5.0,4.0,4.0,,COMPLETE
70,70,0.7584471603163192,2025-01-04 07:08:21.290094,2025-01-04 07:08:54.816019,0 days 00:00:33.525925,7,45,70.0,35.0,70.0,25.0,65.0,15.0,,,,2,2.0,6.0,3.0,5.0,4.0,6.0,,,,COMPLETE
71,71,0.7725490196078432,2025-01-04 07:08:54.816728,2025-01-04 07:09:20.863550,0 days 00:00:26.046822,6,75,75.0,85.0,35.0,80.0,95.0,,,,,2,3.0,3.0,6.0,3.0,6.0,,,,,COMPLETE
72,72,0.7511467889908257,2025-01-04 07:09:20.864171,2025-01-04 07:09:48.370121,0 days 00:00:27.505950,5,85,85.0,95.0,10.0,75.0,,,,,,3,5.0,4.0,6.0,5.0,,,,,,COMPLETE
73,73,0.7410507852985729,2025-01-04 07:09:48.370663,2025-01-04 07:10:21.939169,0 days 00:00:33.568506,6,60,95.0,75.0,55.0,60.0,100.0,,,,,4,3.0,5.0,6.0,4.0,6.0,,,,,COMPLETE
74,74,0.8213716108452951,2025-01-04 07:10:21.939849,2025-01-04 07:10:44.233038,0 days 00:00:22.293189,5,55,40.0,40.0,30.0,85.0,,,,,,2,3.0,4.0,6.0,5.0,,,,,,COMPLETE
75,75,0.8251247384516337,2025-01-04 07:10:44.233614,2025-01-04 07:11:15.002015,0 days 00:00:30.768401,7,70,100.0,60.0,75.0,70.0,90.0,45.0,,,,3,3.0,3.0,5.0,5.0,5.0,3.0,,,,COMPLETE
76,76,0.72319221876744,2025-01-04 07:11:15.002594,2025-01-04 07:11:44.030318,0 days 00:00:29.027724,8,50,5.0,90.0,60.0,50.0,80.0,25.0,30.0,,,2,2.0,2.0,2.0,3.0,6.0,5.0,5.0,,,COMPLETE
77,77,0.807041572671608,2025-01-04 07:11:44.030995,2025-01-04 07:12:01.901720,0 days 00:00:17.870725,4,70,90.0,80.0,80.0,,,,,,,4,3.0,4.0,5.0,,,,,,,COMPLETE
78,78,0.8016569200779726,2025-01-04 07:12:01.902273,2025-01-04 07:12:26.390932,0 days 00:00:24.488659,6,80,80.0,5.0,65.0,60.0,45.0,,,,,2,4.0,5.0,2.0,4.0,5.0,,,,,COMPLETE
79,79,0.7944954128440367,2025-01-04 07:12:26.391467,2025-01-04 07:12:46.637699,0 days 00:00:20.246232,5,65,90.0,100.0,45.0,90.0,,,,,,3,2.0,3.0,4.0,5.0,,,,,,COMPLETE
80,80,0.7854406130268199,2025-01-04 07:12:46.638185,2025-01-04 07:13:21.458114,0 days 00:00:34.819929,8,85,65.0,30.0,50.0,45.0,95.0,55.0,45.0,,,2,3.0,2.0,6.0,4.0,6.0,4.0,2.0,,,COMPLETE
81,81,0.8035087719298246,2025-01-04 07:13:21.458799,2025-01-04 07:13:39.526930,0 days 00:00:18.068131,5,75,85.0,35.0,40.0,55.0,,,,,,2,3.0,3.0,2.0,5.0,,,,,,COMPLETE
82,82,0.7981821106821108,2025-01-04 07:13:39.527485,2025-01-04 07:13:57.361437,0 days 00:00:17.833952,5,90,95.0,25.0,15.0,65.0,,,,,,2,3.0,3.0,2.0,5.0,,,,,,COMPLETE
83,83,0.8748403575989783,2025-01-04 07:13:57.361915,2025-01-04 07:14:08.916921,0 days 00:00:11.555006,4,75,75.0,40.0,25.0,,,,,,,2,3.0,3.0,2.0,,,,,,,COMPLETE
