,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
88,88,0.6885521885521886,2025-01-04 03:08:10.467461,2025-01-04 03:08:28.834400,0 days 00:00:18.366939,4,10,55.0,15.0,70.0,,,,,,,2,2.0,6.0,5.0,,,,,,,COMPLETE
89,89,0.76759410801964,2025-01-04 03:08:28.834927,2025-01-04 03:08:51.206753,0 days 00:00:22.371826,5,35,55.0,30.0,85.0,70.0,,,,,,2,2.0,6.0,4.0,6.0,,,,,,COMPLETE
90,90,0.7454545454545455,2025-01-04 03:08:51.207276,2025-01-04 03:09:14.860853,0 days 00:00:23.653577,5,25,65.0,30.0,75.0,90.0,,,,,,2,2.0,6.0,5.0,6.0,,,,,,COMPLETE
91,91,0.6940024479804161,2025-01-04 03:09:14.861360,2025-01-04 03:09:38.760106,0 days 00:00:23.898746,5,30,55.0,20.0,85.0,65.0,,,,,,2,2.0,6.0,4.0,6.0,,,,,,COMPLETE
92,92,0.703038083012409,2025-01-04 03:09:38.760577,2025-01-04 03:09:54.671181,0 days 00:00:15.910604,4,15,50.0,25.0,80.0,,,,,,,2,2.0,6.0,4.0,,,,,,,COMPLETE
93,93,0.6565656565656566,2025-01-04 03:09:54.671707,2025-01-04 03:10:18.570806,0 days 00:00:23.899099,5,40,60.0,45.0,95.0,75.0,,,,,,2,2.0,6.0,4.0,6.0,,,,,,COMPLETE
94,94,0.8045454545454545,2025-01-04 03:10:18.571342,2025-01-04 03:10:30.654416,0 days 00:00:12.083074,3,10,70.0,30.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
95,95,0.6818181818181819,2025-01-04 03:10:30.654820,2025-01-04 03:10:43.723176,0 days 00:00:13.068356,3,35,70.0,30.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
96,96,0.6653027823240589,2025-01-04 03:10:43.723558,2025-01-04 03:10:55.937367,0 days 00:00:12.213809,3,45,65.0,25.0,,,,,,,,2,2.0,6.0,,,,,,,,COMPLETE
97,97,0.7484126984126984,2025-01-04 03:10:55.937767,2025-01-04 03:11:10.904640,0 days 00:00:14.966873,4,20,50.0,35.0,65.0,,,,,,,2,2.0,6.0,3.0,,,,,,,COMPLETE
