,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
52,52,0.8430662805662805,2025-01-01 09:53:56.947765,2025-01-01 09:54:00.591970,0 days 00:00:03.644205,2,30,185.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
53,53,0.7694378684491482,2025-01-01 09:54:00.592328,2025-01-01 09:54:02.887737,0 days 00:00:02.295409,1,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.8152542372881356,2025-01-01 09:54:02.888076,2025-01-01 09:54:06.793723,0 days 00:00:03.905647,2,25,190.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
55,55,0.8071784967004667,2025-01-01 09:54:06.794083,2025-01-01 09:54:13.013594,0 days 00:00:06.219511,3,35,185.0,,,,,,,,,,,15.0,,,,,,,,2,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
56,56,0.4342105263157895,2025-01-01 09:54:13.014115,2025-01-01 09:54:15.073191,0 days 00:00:02.059076,1,45,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.7686628383921248,2025-01-01 09:54:15.073538,2025-01-01 09:54:18.411277,0 days 00:00:03.337739,2,10,175.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.0,2025-01-01 09:54:18.411648,2025-01-01 09:54:21.699527,0 days 00:00:03.287879,5,30,195.0,,,,,,,,,,,40.0,45.0,165.0,,,,,,2,3.0,,,,,,,,,,,5.0,4.0,4.0,,,,,,COMPLETE
59,59,0.0,2025-01-01 09:54:21.699983,2025-01-01 09:54:30.047156,0 days 00:00:08.347173,14,15,170.0,55.0,145.0,100.0,120.0,,,,,,,120.0,20.0,200.0,170.0,180.0,170.0,150.0,50.0,3,4.0,5.0,6.0,4.0,2.0,,,,,,,2.0,3.0,6.0,2.0,5.0,3.0,5.0,3.0,COMPLETE
60,60,0.0,2025-01-01 09:54:30.047820,2025-01-01 09:54:32.547561,0 days 00:00:02.499741,4,140,160.0,,,,,,,,,,,80.0,200.0,,,,,,,6,4.0,,,,,,,,,,,4.0,2.0,,,,,,,COMPLETE
61,61,0.8251287001287001,2025-01-01 09:54:32.547994,2025-01-01 09:54:37.498811,0 days 00:00:04.950817,3,80,145.0,,,,,,,,,,,130.0,,,,,,,,2,2.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
62,62,0.7766254487435182,2025-01-01 09:54:37.499201,2025-01-01 09:54:41.559278,0 days 00:00:04.060077,2,40,185.0,,,,,,,,,,,,,,,,,,,6,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.8070796460176992,2025-01-01 09:54:41.559652,2025-01-01 09:54:46.899010,0 days 00:00:05.339358,3,105,155.0,,,,,,,,,,,155.0,,,,,,,,3,3.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
64,64,0.8124850514231046,2025-01-01 09:54:46.899396,2025-01-01 09:54:55.021133,0 days 00:00:08.121737,4,50,200.0,,,,,,,,,,,195.0,15.0,,,,,,,5,2.0,,,,,,,,,,,4.0,5.0,,,,,,,COMPLETE
65,65,0.8182194616977225,2025-01-01 09:54:55.021556,2025-01-01 09:54:57.877991,0 days 00:00:02.856435,1,115,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.0,2025-01-01 09:54:57.878330,2025-01-01 09:55:01.333884,0 days 00:00:03.455554,6,40,170.0,,,,,,,,,,,130.0,75.0,60.0,135.0,,,,,2,3.0,,,,,,,,,,,2.0,6.0,3.0,4.0,,,,,COMPLETE
67,67,0.8287732402370707,2025-01-01 09:55:01.334348,2025-01-01 09:55:05.640886,0 days 00:00:04.306538,2,85,140.0,,,,,,,,,,,,,,,,,,,4,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
68,68,0.0,2025-01-01 09:55:05.641258,2025-01-01 09:55:14.742856,0 days 00:00:09.101598,16,95,190.0,150.0,50.0,140.0,110.0,10.0,195.0,,,,,170.0,100.0,185.0,90.0,135.0,115.0,200.0,145.0,3,2.0,5.0,4.0,5.0,4.0,6.0,2.0,,,,,3.0,2.0,4.0,5.0,3.0,2.0,3.0,5.0,COMPLETE
69,69,0.8289473684210527,2025-01-01 09:55:14.743594,2025-01-01 09:55:19.922232,0 days 00:00:05.178638,3,60,150.0,,,,,,,,,,,70.0,,,,,,,,6,3.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
70,70,0.8213716108452951,2025-01-01 09:55:19.922636,2025-01-01 09:55:26.300340,0 days 00:00:06.377704,3,125,130.0,,,,,,,,,,,175.0,,,,,,,,5,4.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
71,71,0.8212005108556832,2025-01-01 09:55:26.300742,2025-01-01 09:55:30.233305,0 days 00:00:03.932563,2,25,35.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.8245499419279907,2025-01-01 09:55:30.233682,2025-01-01 09:55:32.199479,0 days 00:00:01.965797,1,35,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.8156622623267805,2025-01-01 09:55:32.199955,2025-01-01 09:55:35.826143,0 days 00:00:03.626188,2,45,180.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.7854406130268199,2025-01-01 09:55:35.826513,2025-01-01 09:55:40.571242,0 days 00:00:04.744729,3,55,160.0,,,,,,,,,,,160.0,,,,,,,,2,2.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
75,75,0.0,2025-01-01 09:55:40.571636,2025-01-01 09:55:42.709942,0 days 00:00:02.138306,4,65,175.0,,,,,,,,,,,110.0,55.0,,,,,,,6,3.0,,,,,,,,,,,2.0,3.0,,,,,,,COMPLETE
76,76,0.7933279814467933,2025-01-01 09:55:42.710340,2025-01-01 09:55:45.960513,0 days 00:00:03.250173,1,75,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.0,2025-01-01 09:55:45.960865,2025-01-01 09:55:48.410376,0 days 00:00:02.449511,4,110,190.0,,,,,,,,,,,135.0,145.0,,,,,,,2,3.0,,,,,,,,,,,4.0,4.0,,,,,,,COMPLETE
