,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
83,83,0.8869305394562184,2025-01-01 13:30:06.239920,2025-01-01 13:30:22.514264,0 days 00:00:16.274344,1,170,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
84,84,0.8670337477326664,2025-01-01 13:30:22.514600,2025-01-01 13:32:10.487850,0 days 00:01:47.973250,2,155,50.0,,,,,,,,,,,,,,,,,,,5,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.8349566559452345,2025-01-01 13:32:10.488346,2025-01-01 13:32:29.617518,0 days 00:00:19.129172,1,175,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.8649283705199589,2025-01-01 13:32:29.617969,2025-01-01 13:33:25.276950,0 days 00:00:55.658981,2,145,25.0,,,,,,,,,,,,,,,,,,,5,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
87,87,0.8711242294640885,2025-01-01 13:33:25.277440,2025-01-01 13:36:19.095737,0 days 00:02:53.818297,3,165,180.0,,,,,,,,,,,155.0,,,,,,,,6,5.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
88,88,0.8413122772460437,2025-01-01 13:36:19.096252,2025-01-01 13:36:31.420870,0 days 00:00:12.324618,1,155,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
89,89,0.0,2025-01-01 13:36:31.421311,2025-01-01 13:37:02.808475,0 days 00:00:31.387164,4,195,150.0,,,,,,,,,,,170.0,200.0,,,,,,,6,4.0,,,,,,,,,,,3.0,5.0,,,,,,,COMPLETE
90,90,0.8699481380713067,2025-01-01 13:37:02.808889,2025-01-01 13:37:53.249900,0 days 00:00:50.441011,2,75,85.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
91,91,0.8989183135027712,2025-01-01 13:37:53.250394,2025-01-01 13:38:09.264290,0 days 00:00:16.013896,1,175,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.8514935612634273,2025-01-01 13:38:09.264637,2025-01-01 13:38:28.544325,0 days 00:00:19.279688,1,175,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
