,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
57,57,0.48404255319148937,2025-01-05 13:33:04.446249,2025-01-05 13:33:14.346977,0 days 00:00:09.900728,4,7,7.0,,,,,,,,,,,6.0,13.0,,,,,,,35,55.0,,,,,,,,,,,5.0,55.0,,,,,,,COMPLETE
58,58,0.737689829728486,2025-01-05 13:33:14.347373,2025-01-05 13:33:18.031783,0 days 00:00:03.684410,1,8,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,COMPLETE
59,59,0.4605263157894737,2025-01-05 13:33:18.032109,2025-01-05 13:33:32.740741,0 days 00:00:14.708632,7,10,3.0,,,,,,,,,,,9.0,1.0,8.0,3.0,4.0,,,,20,35.0,,,,,,,,,,,35.0,20.0,40.0,35.0,25.0,,,,COMPLETE
60,60,0.8339622641509434,2025-01-05 13:33:32.741214,2025-01-05 13:33:38.659065,0 days 00:00:05.917851,2,11,5.0,,,,,,,,,,,,,,,,,,,40,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.7903861308116626,2025-01-05 13:33:38.659412,2025-01-05 13:33:45.052250,0 days 00:00:06.392838,2,11,5.0,,,,,,,,,,,,,,,,,,,40,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.7931432973805855,2025-01-05 13:33:45.052601,2025-01-05 13:33:50.396352,0 days 00:00:05.343751,1,12,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.487736900780379,2025-01-05 13:33:50.396678,2025-01-05 13:33:57.234824,0 days 00:00:06.838146,3,9,4.0,,,,,,,,,,,15.0,,,,,,,,45,45.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
64,64,0.32634032634032634,2025-01-05 13:33:57.235201,2025-01-05 13:34:12.323234,0 days 00:00:15.088033,4,13,6.0,,,,,,,,,,,13.0,9.0,,,,,,,35,35.0,,,,,,,,,,,25.0,45.0,,,,,,,COMPLETE
65,65,0.8421985815602837,2025-01-05 13:34:12.323831,2025-01-05 13:34:16.261214,0 days 00:00:03.937383,2,8,5.0,,,,,,,,,,,,,,,,,,,15,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
66,66,0.0,2025-01-05 13:34:16.261562,2025-01-05 13:34:47.246744,0 days 00:00:30.985182,17,7,5.0,1.0,5.0,10.0,7.0,14.0,15.0,15.0,,,,2.0,2.0,5.0,7.0,7.0,12.0,13.0,7.0,40,50.0,40.0,15.0,40.0,5.0,55.0,60.0,55.0,,,,40.0,10.0,15.0,10.0,55.0,10.0,25.0,5.0,COMPLETE
