,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
83,83,0.8678810310439329,2025-01-03 07:03:23.939782,2025-01-03 07:06:32.100568,0 days 00:03:08.160786,2,9,2.0,,,,,,,,,,,,,,,,,,,45,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
84,84,0.7835798394025372,2025-01-03 07:06:32.101113,2025-01-03 07:09:08.453078,0 days 00:02:36.351965,1,10,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.8662329329880234,2025-01-03 07:09:08.453604,2025-01-03 07:12:49.117729,0 days 00:03:40.664125,2,9,6.0,,,,,,,,,,,,,,,,,,,50,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.16834952471794518,2025-01-03 07:12:49.118281,2025-01-03 07:15:43.350897,0 days 00:02:54.232616,11,7,9.0,12.0,,,,,,,,,,12.0,7.0,10.0,6.0,13.0,13.0,12.0,15.0,55,25.0,20.0,,,,,,,,,,25.0,55.0,20.0,30.0,40.0,5.0,40.0,30.0,COMPLETE
87,87,0.881228186193016,2025-01-03 07:15:43.351612,2025-01-03 07:17:39.793412,0 days 00:01:56.441800,2,5,12.0,,,,,,,,,,,,,,,,,,,25,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
88,88,0.8795617493409793,2025-01-03 07:17:39.793957,2025-01-03 07:21:58.204684,0 days 00:04:18.410727,3,6,7.0,,,,,,,,,,,7.0,,,,,,,,40,50.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
89,89,0.78870943199713,2025-01-03 07:21:58.205258,2025-01-03 07:25:09.202583,0 days 00:03:10.997325,1,10,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
90,90,0.8730549959925069,2025-01-03 07:25:09.203129,2025-01-03 07:28:25.682295,0 days 00:03:16.479166,2,11,3.0,,,,,,,,,,,,,,,,,,,45,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
91,91,0.8410737070851452,2025-01-03 07:28:25.682836,2025-01-03 07:30:42.606465,0 days 00:02:16.923629,1,9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.8921227072680351,2025-01-03 07:30:42.606978,2025-01-03 07:32:56.763146,0 days 00:02:14.156168,1,8,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
