,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
70,70,0.8742378280914591,2024-12-31 21:51:15.398432,2024-12-31 21:52:44.736241,0 days 00:01:29.337809,3,10,85.0,,,,,,,,,,,165.0,,,,,,,,COMPLETE
71,71,0.8687685325763882,2024-12-31 21:52:44.736953,2024-12-31 21:54:43.156669,0 days 00:01:58.419716,5,85,45.0,,,,,,,,,,,15.0,50.0,165.0,,,,,,COMPLETE
72,72,0.8525382840470327,2024-12-31 21:54:43.157396,2024-12-31 21:57:27.579192,0 days 00:02:44.421796,6,95,20.0,,,,,,,,,,,135.0,75.0,110.0,190.0,,,,,COMPLETE
73,73,0.8798243860046631,2024-12-31 21:57:27.579924,2024-12-31 21:58:52.951336,0 days 00:01:25.371412,3,105,35.0,,,,,,,,,,,100.0,,,,,,,,COMPLETE
74,74,0.8755490347253387,2024-12-31 21:58:52.952034,2024-12-31 21:59:44.991222,0 days 00:00:52.039188,1,105,,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.8716898273451708,2024-12-31 21:59:44.991896,2024-12-31 22:01:34.800513,0 days 00:01:49.808617,3,115,110.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
76,76,0.8761276140203409,2024-12-31 22:01:34.801207,2024-12-31 22:02:20.720734,0 days 00:00:45.919527,2,20,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.8786592458413798,2024-12-31 22:02:20.721422,2024-12-31 22:03:29.891817,0 days 00:01:09.170395,3,35,35.0,,,,,,,,,,,100.0,,,,,,,,COMPLETE
78,78,0.8768927296551523,2024-12-31 22:03:29.892528,2024-12-31 22:05:49.077360,0 days 00:02:19.184832,4,130,145.0,,,,,,,,,,,150.0,20.0,,,,,,,COMPLETE
79,79,0.8641658394864188,2024-12-31 22:05:49.078083,2024-12-31 22:09:10.252112,0 days 00:03:21.174029,9,70,70.0,,,,,,,,,,,5.0,90.0,5.0,55.0,70.0,145.0,175.0,,COMPLETE
80,80,0.8068634449416063,2024-12-31 22:09:10.252888,2024-12-31 22:09:45.245441,0 days 00:00:34.992553,1,25,,,,,,,,,,,,,,,,,,,,COMPLETE
81,81,0.8624233209484604,2024-12-31 22:09:45.246001,2024-12-31 22:12:16.114699,0 days 00:02:30.868698,5,80,10.0,,,,,,,,,,,90.0,140.0,190.0,,,,,,COMPLETE
82,82,0.8802704041032067,2024-12-31 22:12:16.115442,2024-12-31 22:13:30.979094,0 days 00:01:14.863652,3,90,25.0,,,,,,,,,,,65.0,,,,,,,,COMPLETE
83,83,0.872150747951274,2024-12-31 22:13:30.979818,2024-12-31 22:14:44.265630,0 days 00:01:13.285812,3,100,25.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
84,84,0.8766846968672526,2024-12-31 22:14:44.266337,2024-12-31 22:16:19.711960,0 days 00:01:35.445623,4,85,35.0,,,,,,,,,,,70.0,75.0,,,,,,,COMPLETE
85,85,0.8194479303536213,2024-12-31 22:16:19.712784,2024-12-31 22:17:19.693291,0 days 00:00:59.980507,2,75,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.8692968975856674,2024-12-31 22:17:19.693988,2024-12-31 22:18:00.307273,0 days 00:00:40.613285,1,50,,,,,,,,,,,,,,,,,,,,COMPLETE
87,87,0.8530102177925591,2024-12-31 22:18:00.307965,2024-12-31 22:20:06.967887,0 days 00:02:06.659922,7,60,10.0,,,,,,,,,,,35.0,110.0,35.0,25.0,110.0,,,,COMPLETE
88,88,0.8721543517945917,2024-12-31 22:20:06.968645,2024-12-31 22:21:10.876153,0 days 00:01:03.907508,2,90,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
89,89,0.8151077694235589,2024-12-31 22:21:10.876852,2024-12-31 22:22:39.625648,0 days 00:01:28.748796,3,10,125.0,,,,,,,,,,,125.0,,,,,,,,COMPLETE
90,90,0.0,2024-12-31 22:22:39.626364,2024-12-31 22:27:39.800446,0 days 00:05:00.174082,15,65,30.0,30.0,195.0,135.0,5.0,5.0,,,,,,105.0,25.0,190.0,135.0,40.0,90.0,130.0,35.0,COMPLETE
91,91,0.8753657887151461,2024-12-31 22:27:39.801304,2024-12-31 22:30:02.248020,0 days 00:02:22.446716,5,110,5.0,,,,,,,,,,,80.0,185.0,95.0,,,,,,COMPLETE
92,92,0.8779177888793291,2024-12-31 22:30:02.248753,2024-12-31 22:31:59.624812,0 days 00:01:57.376059,4,80,20.0,,,,,,,,,,,95.0,200.0,,,,,,,COMPLETE
93,93,0.8744105645516413,2024-12-31 22:31:59.625547,2024-12-31 22:35:00.485042,0 days 00:03:00.859495,6,90,25.0,,,,,,,,,,,85.0,160.0,150.0,115.0,,,,,COMPLETE
94,94,0.8781188017172439,2024-12-31 22:35:00.485805,2024-12-31 22:36:14.167495,0 days 00:01:13.681690,3,100,15.0,,,,,,,,,,,65.0,,,,,,,,COMPLETE
95,95,0.86534968898458,2024-12-31 22:36:14.168203,2024-12-31 22:37:38.414018,0 days 00:01:24.245815,4,70,40.0,,,,,,,,,,,50.0,55.0,,,,,,,COMPLETE
96,96,0.8787773398253342,2024-12-31 22:37:38.414742,2024-12-31 22:40:04.812387,0 days 00:02:26.397645,5,95,30.0,,,,,,,,,,,75.0,170.0,110.0,,,,,,COMPLETE
97,97,0.2807350276284478,2024-12-31 22:40:04.813132,2024-12-31 22:44:52.097257,0 days 00:04:47.284125,10,115,10.0,,,,,,,,,,,95.0,120.0,170.0,90.0,165.0,60.0,180.0,170.0,COMPLETE
98,98,0.6235286131590677,2024-12-31 22:44:52.098815,2024-12-31 22:48:14.748063,0 days 00:03:22.649248,8,110,50.0,,,,,,,,,,,85.0,150.0,70.0,65.0,65.0,175.0,,,COMPLETE
99,99,0.5699749697704564,2024-12-31 22:48:14.748855,2024-12-31 22:53:09.432820,0 days 00:04:54.683965,12,55,20.0,170.0,125.0,,,,,,,,,160.0,40.0,90.0,165.0,20.0,135.0,100.0,145.0,COMPLETE
100,100,0.8789002194397831,2024-12-31 22:53:09.433645,2024-12-31 22:53:53.882248,0 days 00:00:44.448603,1,65,,,,,,,,,,,,,,,,,,,,COMPLETE
101,101,0.8288774183554596,2024-12-31 22:53:53.882950,2024-12-31 22:54:38.193853,0 days 00:00:44.310903,1,65,,,,,,,,,,,,,,,,,,,,COMPLETE
102,102,0.8600533668183958,2024-12-31 22:54:38.194554,2024-12-31 22:55:35.359038,0 days 00:00:57.164484,2,75,35.0,,,,,,,,,,,,,,,,,,,COMPLETE
103,103,0.8194913053794559,2024-12-31 22:55:35.359742,2024-12-31 22:56:15.034255,0 days 00:00:39.674513,1,45,,,,,,,,,,,,,,,,,,,,COMPLETE
104,104,0.8791430432792195,2024-12-31 22:56:15.034961,2024-12-31 22:57:21.038868,0 days 00:01:06.003907,3,60,40.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
105,105,0.8723891403526522,2024-12-31 22:57:21.039594,2024-12-31 22:59:00.790994,0 days 00:01:39.751400,4,40,40.0,,,,,,,,,,,60.0,175.0,,,,,,,COMPLETE
106,106,0.8724483432042885,2024-12-31 22:59:00.791713,2024-12-31 23:00:35.104242,0 days 00:01:34.312529,3,175,30.0,,,,,,,,,,,70.0,,,,,,,,COMPLETE
107,107,0.8764919017574112,2024-12-31 23:00:35.105008,2024-12-31 23:02:48.590859,0 days 00:02:13.485851,5,50,25.0,,,,,,,,,,,45.0,160.0,155.0,,,,,,COMPLETE
108,108,0.8723258377374372,2024-12-31 23:02:48.591545,2024-12-31 23:03:54.768811,0 days 00:01:06.177266,2,85,65.0,,,,,,,,,,,,,,,,,,,COMPLETE
109,109,0.757942989098006,2024-12-31 23:03:54.769868,2024-12-31 23:05:00.218330,0 days 00:01:05.448462,3,10,115.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
110,110,0.8913202879126928,2024-12-31 23:05:00.219035,2024-12-31 23:06:09.519688,0 days 00:01:09.300653,4,20,5.0,,,,,,,,,,,60.0,80.0,,,,,,,COMPLETE
111,111,0.8914362049960209,2024-12-31 23:06:09.520377,2024-12-31 23:07:21.568015,0 days 00:01:12.047638,4,20,5.0,,,,,,,,,,,60.0,85.0,,,,,,,COMPLETE
112,112,0.8774545893472603,2024-12-31 23:07:21.568704,2024-12-31 23:08:38.083593,0 days 00:01:16.514889,4,20,5.0,,,,,,,,,,,90.0,80.0,,,,,,,COMPLETE
113,113,0.8650471882057413,2024-12-31 23:08:38.084291,2024-12-31 23:10:05.262426,0 days 00:01:27.178135,5,25,10.0,,,,,,,,,,,75.0,90.0,20.0,,,,,,COMPLETE
114,114,0.8640385625209781,2024-12-31 23:10:05.263142,2024-12-31 23:11:15.969525,0 days 00:01:10.706383,4,10,15.0,,,,,,,,,,,55.0,70.0,,,,,,,COMPLETE
115,115,0.8787382648321425,2024-12-31 23:11:15.970207,2024-12-31 23:13:41.574808,0 days 00:02:25.604601,6,30,20.0,,,,,,,,,,,105.0,60.0,130.0,140.0,,,,,COMPLETE
116,116,0.8940508394215203,2024-12-31 23:13:41.575533,2024-12-31 23:15:03.822330,0 days 00:01:22.246797,4,35,5.0,,,,,,,,,,,80.0,100.0,,,,,,,COMPLETE
117,117,0.8868095771073403,2024-12-31 23:15:03.823051,2024-12-31 23:16:25.751767,0 days 00:01:21.928716,4,35,5.0,,,,,,,,,,,65.0,105.0,,,,,,,COMPLETE
