,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
116,116,0.30632630410654826,2025-01-02 02:29:14.906252,2025-01-02 02:30:01.647633,0 days 00:00:46.741381,17,90,30.0,95.0,160.0,135.0,10.0,195.0,140.0,195.0,,,,135.0,60.0,185.0,145.0,60.0,25.0,40.0,110.0,COMPLETE
117,117,0.825220680958386,2025-01-02 02:30:01.648397,2025-01-02 02:30:10.448114,0 days 00:00:08.799717,4,105,80.0,,,,,,,,,,,165.0,115.0,,,,,,,COMPLETE
118,118,0.8499583217560434,2025-01-02 02:30:10.448679,2025-01-02 02:30:15.451868,0 days 00:00:05.003189,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
119,119,0.8851224105461393,2025-01-02 02:30:15.452350,2025-01-02 02:30:22.834417,0 days 00:00:07.382067,3,130,170.0,,,,,,,,,,,85.0,,,,,,,,COMPLETE
120,120,0.8870673952641166,2025-01-02 02:30:22.835007,2025-01-02 02:30:30.270725,0 days 00:00:07.435718,3,135,160.0,,,,,,,,,,,155.0,,,,,,,,COMPLETE
121,121,0.8500000000000001,2025-01-02 02:30:30.271268,2025-01-02 02:30:37.672771,0 days 00:00:07.401503,3,135,170.0,,,,,,,,,,,180.0,,,,,,,,COMPLETE
122,122,0.8499583217560434,2025-01-02 02:30:37.673302,2025-01-02 02:30:45.054736,0 days 00:00:07.381434,3,145,160.0,,,,,,,,,,,160.0,,,,,,,,COMPLETE
123,123,0.8521505376344086,2025-01-02 02:30:45.055343,2025-01-02 02:30:51.118551,0 days 00:00:06.063208,2,125,175.0,,,,,,,,,,,,,,,,,,,COMPLETE
124,124,0.8794871794871795,2025-01-02 02:30:51.119142,2025-01-02 02:30:58.581793,0 days 00:00:07.462651,3,130,185.0,,,,,,,,,,,150.0,,,,,,,,COMPLETE
125,125,0.7778454047474133,2025-01-02 02:30:58.582352,2025-01-02 02:31:08.641164,0 days 00:00:10.058812,5,120,155.0,,,,,,,,,,,130.0,100.0,50.0,,,,,,COMPLETE
126,126,0.8761618370694368,2025-01-02 02:31:08.641750,2025-01-02 02:31:16.103527,0 days 00:00:07.461777,3,140,165.0,,,,,,,,,,,190.0,,,,,,,,COMPLETE
127,127,0.8572639909553419,2025-01-02 02:31:16.104073,2025-01-02 02:31:24.864074,0 days 00:00:08.760001,4,135,145.0,,,,,,,,,,,110.0,145.0,,,,,,,COMPLETE
128,128,0.5270935960591133,2025-01-02 02:31:24.864612,2025-01-02 02:31:36.418155,0 days 00:00:11.553543,6,200,175.0,,,,,,,,,,,120.0,130.0,100.0,185.0,,,,,COMPLETE
129,129,0.8665183537263625,2025-01-02 02:31:36.418762,2025-01-02 02:31:42.497609,0 days 00:00:06.078847,2,120,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
