,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
76,76,0.8797600263411629,2025-01-02 23:43:56.398661,2025-01-02 23:45:42.303558,0 days 00:01:45.904897,5,125,105.0,,,,,,,,,,,125.0,200.0,5.0,,,,,,COMPLETE
77,77,0.8734488623035421,2025-01-02 23:45:42.304173,2025-01-02 23:46:49.213293,0 days 00:01:06.909120,2,170,135.0,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.8726516411462216,2025-01-02 23:46:49.213778,2025-01-02 23:48:01.109965,0 days 00:01:11.896187,4,75,20.0,,,,,,,,,,,145.0,100.0,,,,,,,COMPLETE
79,79,0.4686782026167501,2025-01-02 23:48:01.110487,2025-01-02 23:52:40.525204,0 days 00:04:39.414717,13,180,195.0,165.0,160.0,195.0,,,,,,,,85.0,75.0,70.0,100.0,180.0,35.0,70.0,165.0,COMPLETE
80,80,0.8749835342353037,2025-01-02 23:52:40.525772,2025-01-02 23:53:57.409422,0 days 00:01:16.883650,3,190,120.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
81,81,0.8735244063297092,2025-01-02 23:53:57.409932,2025-01-02 23:55:47.596831,0 days 00:01:50.186899,4,110,150.0,,,,,,,,,,,175.0,155.0,,,,,,,COMPLETE
82,82,0.8634189046497871,2025-01-02 23:55:47.597337,2025-01-02 23:58:04.242410,0 days 00:02:16.645073,6,120,145.0,,,,,,,,,,,165.0,145.0,145.0,115.0,,,,,COMPLETE
83,83,0.8826978495649449,2025-01-02 23:58:04.242928,2025-01-02 23:59:02.052053,0 days 00:00:57.809125,2,120,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
84,84,0.8673363996676635,2025-01-02 23:59:02.052588,2025-01-02 23:59:34.996731,0 days 00:00:32.944143,1,95,,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.8790211509128923,2025-01-02 23:59:34.997097,2025-01-03 00:00:41.522373,0 days 00:01:06.525276,2,145,165.0,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.8673446327683616,2025-01-03 00:00:41.522852,2025-01-03 00:01:47.333290,0 days 00:01:05.810438,2,130,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
87,87,0.8676527832093803,2025-01-03 00:01:47.333786,2025-01-03 00:02:23.113886,0 days 00:00:35.780100,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
88,88,0.8821702255086423,2025-01-03 00:02:23.114366,2025-01-03 00:03:55.574553,0 days 00:01:32.460187,3,200,185.0,,,,,,,,,,,75.0,,,,,,,,COMPLETE
89,89,0.8777655611070521,2025-01-03 00:03:55.575046,2025-01-03 00:05:12.136614,0 days 00:01:16.561568,3,105,185.0,,,,,,,,,,,70.0,,,,,,,,COMPLETE
90,90,0.8760306574130439,2025-01-03 00:05:12.137112,2025-01-03 00:06:20.995530,0 days 00:01:08.858418,3,85,200.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
