,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
81,81,0.8252925823019281,2025-01-02 07:01:59.856873,2025-01-02 07:02:04.845087,0 days 00:00:04.988214,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.823495655025414,2025-01-02 07:02:04.845581,2025-01-02 07:02:09.818134,0 days 00:00:04.972553,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.8212005108556832,2025-01-02 07:02:09.818614,2025-01-02 07:02:16.705912,0 days 00:00:06.887298,3,135,15.0,,,,,,,,,,,30.0,,,,,,,,COMPLETE
84,84,0.5640552995391706,2025-01-02 07:02:16.706407,2025-01-02 07:03:30.991830,0 days 00:01:14.285423,20,140,130.0,35.0,135.0,60.0,70.0,80.0,5.0,180.0,200.0,185.0,200.0,5.0,75.0,60.0,60.0,135.0,175.0,80.0,155.0,COMPLETE
85,85,0.8557504873294347,2025-01-02 07:03:31.002101,2025-01-02 07:03:37.466370,0 days 00:00:06.464269,2,35,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.8572111934943794,2025-01-02 07:03:37.466895,2025-01-02 07:03:43.913472,0 days 00:00:06.446577,2,150,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
87,87,0.8520514883346741,2025-01-02 07:03:43.914002,2025-01-02 07:03:50.436443,0 days 00:00:06.522441,2,25,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
88,88,0.8607085346215781,2025-01-02 07:03:50.436952,2025-01-02 07:03:56.923430,0 days 00:00:06.486478,2,35,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
89,89,0.5710743801652892,2025-01-02 07:03:56.923943,2025-01-02 07:04:12.258949,0 days 00:00:15.335006,7,30,5.0,,,,,,,,,,,190.0,30.0,150.0,30.0,165.0,,,,COMPLETE
90,90,0.7135673959068455,2025-01-02 07:04:12.259535,2025-01-02 07:04:19.718227,0 days 00:00:07.458692,3,40,25.0,,,,,,,,,,,170.0,,,,,,,,COMPLETE
91,91,0.8071784967004667,2025-01-02 07:04:19.718891,2025-01-02 07:04:25.784767,0 days 00:00:06.065876,2,20,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.8161705551086083,2025-01-02 07:04:25.785251,2025-01-02 07:04:32.227487,0 days 00:00:06.442236,2,35,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
93,93,0.6410367545076283,2025-01-02 07:04:32.228004,2025-01-02 07:04:41.378396,0 days 00:00:09.150392,4,15,35.0,,,,,,,,,,,150.0,140.0,,,,,,,COMPLETE
94,94,0.8559714216124057,2025-01-02 07:04:41.378940,2025-01-02 07:04:47.407883,0 days 00:00:06.028943,2,45,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
95,95,0.7797292942313889,2025-01-02 07:04:47.408383,2025-01-02 07:04:54.782667,0 days 00:00:07.374284,3,40,30.0,,,,,,,,,,,85.0,,,,,,,,COMPLETE
96,96,0.8125996810207337,2025-01-02 07:04:54.783187,2025-01-02 07:05:00.781877,0 days 00:00:05.998690,2,50,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
97,97,0.812125569134915,2025-01-02 07:05:00.782380,2025-01-02 07:05:07.816780,0 days 00:00:07.034400,3,30,10.0,,,,,,,,,,,15.0,,,,,,,,COMPLETE
98,98,0.8123653769445554,2025-01-02 07:05:07.817294,2025-01-02 07:05:14.302607,0 days 00:00:06.485313,2,10,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
99,99,0.6819571865443426,2025-01-02 07:05:14.303139,2025-01-02 07:05:23.330440,0 days 00:00:09.027301,4,20,25.0,,,,,,,,,,,35.0,165.0,,,,,,,COMPLETE
100,100,0.34337637494022,2025-01-02 07:05:23.330973,2025-01-02 07:06:15.670318,0 days 00:00:52.339345,19,25,65.0,165.0,50.0,40.0,140.0,125.0,200.0,130.0,155.0,200.0,,70.0,115.0,5.0,180.0,90.0,25.0,30.0,100.0,COMPLETE
101,101,0.8176638176638176,2025-01-02 07:06:15.671225,2025-01-02 07:06:22.112989,0 days 00:00:06.441764,2,45,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
102,102,0.8072745642839101,2025-01-02 07:06:22.113522,2025-01-02 07:06:27.453348,0 days 00:00:05.339826,1,25,,,,,,,,,,,,,,,,,,,,COMPLETE
103,103,0.8325958702064897,2025-01-02 07:06:27.453853,2025-01-02 07:06:33.502466,0 days 00:00:06.048613,2,35,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
104,104,0.8250080567193039,2025-01-02 07:06:33.502978,2025-01-02 07:06:38.818737,0 days 00:00:05.315759,1,65,,,,,,,,,,,,,,,,,,,,COMPLETE
105,105,0.8144963144963145,2025-01-02 07:06:38.819224,2025-01-02 07:06:46.270826,0 days 00:00:07.451602,3,50,30.0,,,,,,,,,,,125.0,,,,,,,,COMPLETE
106,106,0.8336283185840708,2025-01-02 07:06:46.271521,2025-01-02 07:06:52.672516,0 days 00:00:06.400995,2,150,70.0,,,,,,,,,,,,,,,,,,,COMPLETE
107,107,0.4994422547780174,2025-01-02 07:06:52.673001,2025-01-02 07:07:05.949234,0 days 00:00:13.276233,9,155,55.0,,,,,,,,,,,100.0,50.0,85.0,135.0,50.0,120.0,170.0,,COMPLETE
108,108,0.8649350649350649,2025-01-02 07:07:05.950424,2025-01-02 07:07:11.244828,0 days 00:00:05.294404,1,25,,,,,,,,,,,,,,,,,,,,COMPLETE
109,109,0.7777777777777778,2025-01-02 07:07:11.245309,2025-01-02 07:07:16.351393,0 days 00:00:05.106084,1,10,,,,,,,,,,,,,,,,,,,,COMPLETE
110,110,0.823100446953658,2025-01-02 07:07:16.351907,2025-01-02 07:07:21.337500,0 days 00:00:04.985593,1,30,,,,,,,,,,,,,,,,,,,,COMPLETE
111,111,0.8209146146466262,2025-01-02 07:07:21.338008,2025-01-02 07:07:27.783822,0 days 00:00:06.445814,2,40,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
112,112,0.810428849902534,2025-01-02 07:07:27.784346,2025-01-02 07:07:35.226397,0 days 00:00:07.442051,3,20,35.0,,,,,,,,,,,140.0,,,,,,,,COMPLETE
113,113,0.7904761904761906,2025-01-02 07:07:35.226976,2025-01-02 07:07:40.533552,0 days 00:00:05.306576,1,35,,,,,,,,,,,,,,,,,,,,COMPLETE
114,114,0.8446640316205534,2025-01-02 07:07:40.534263,2025-01-02 07:07:46.643884,0 days 00:00:06.109621,2,15,25.0,,,,,,,,,,,,,,,,,,,COMPLETE
115,115,0.8526563947124695,2025-01-02 07:07:46.644363,2025-01-02 07:07:51.969315,0 days 00:00:05.324952,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
116,116,0.7677929547088426,2025-01-02 07:07:51.969829,2025-01-02 07:07:57.313477,0 days 00:00:05.343648,1,25,,,,,,,,,,,,,,,,,,,,COMPLETE
117,117,0.8056374959029826,2025-01-02 07:07:57.313951,2025-01-02 07:08:02.649802,0 days 00:00:05.335851,1,55,,,,,,,,,,,,,,,,,,,,COMPLETE
118,118,0.845568783068783,2025-01-02 07:08:02.650284,2025-01-02 07:08:10.546420,0 days 00:00:07.896136,3,125,45.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
119,119,0.8128930817610063,2025-01-02 07:08:10.546955,2025-01-02 07:08:15.534634,0 days 00:00:04.987679,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
120,120,0.06349206349206349,2025-01-02 07:08:15.535134,2025-01-02 07:08:55.951747,0 days 00:00:40.416613,14,140,75.0,100.0,120.0,100.0,10.0,,,,,,,175.0,190.0,70.0,110.0,110.0,70.0,130.0,35.0,COMPLETE
121,121,0.7873525557011796,2025-01-02 07:08:55.952880,2025-01-02 07:09:02.342664,0 days 00:00:06.389784,2,130,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
122,122,0.8519248906799279,2025-01-02 07:09:02.343171,2025-01-02 07:09:08.754751,0 days 00:00:06.411580,2,125,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
123,123,0.8093631014191762,2025-01-02 07:09:08.755417,2025-01-02 07:09:13.728725,0 days 00:00:04.973308,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
124,124,0.8010104302477183,2025-01-02 07:09:13.729233,2025-01-02 07:09:20.135546,0 days 00:00:06.406313,2,110,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
125,125,0.8568009573195055,2025-01-02 07:09:20.136042,2025-01-02 07:09:25.134080,0 days 00:00:04.998038,1,150,,,,,,,,,,,,,,,,,,,,COMPLETE
126,126,0.8390804597701149,2025-01-02 07:09:25.134565,2025-01-02 07:09:30.138910,0 days 00:00:05.004345,1,165,,,,,,,,,,,,,,,,,,,,COMPLETE
127,127,0.8480292218824329,2025-01-02 07:09:30.139410,2025-01-02 07:09:35.139103,0 days 00:00:04.999693,1,155,,,,,,,,,,,,,,,,,,,,COMPLETE
128,128,0.8416052416052415,2025-01-02 07:09:35.139609,2025-01-02 07:09:41.567236,0 days 00:00:06.427627,2,150,40.0,,,,,,,,,,,,,,,,,,,COMPLETE
129,129,0.8203058623619371,2025-01-02 07:09:41.567744,2025-01-02 07:09:46.565445,0 days 00:00:04.997701,1,145,,,,,,,,,,,,,,,,,,,,COMPLETE
130,130,0.8094021461420542,2025-01-02 07:09:46.565961,2025-01-02 07:09:53.021472,0 days 00:00:06.455511,2,45,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
