,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
72,72,0.9334345900522372,2025-01-03 21:06:11.454301,2025-01-03 21:06:19.515714,0 days 00:00:08.061413,4,125,55.0,,,,,,,,,,,145.0,135.0,,,,,,,COMPLETE
73,73,0.9640805159273012,2025-01-03 21:06:19.516097,2025-01-03 21:06:24.184586,0 days 00:00:04.668489,2,105,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.959070351758794,2025-01-03 21:06:24.185627,2025-01-03 21:06:28.095040,0 days 00:00:03.909413,1,110,,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.9557205152400042,2025-01-03 21:06:28.095364,2025-01-03 21:06:34.652065,0 days 00:00:06.556701,3,120,155.0,,,,,,,,,,,120.0,,,,,,,,COMPLETE
76,76,0.618712715289137,2025-01-03 21:06:34.652516,2025-01-03 21:06:57.285608,0 days 00:00:22.633092,7,105,135.0,,,,,,,,,,,80.0,105.0,125.0,65.0,175.0,,,,COMPLETE
77,77,0.9583332175922711,2025-01-03 21:06:57.286004,2025-01-03 21:07:03.093928,0 days 00:00:05.807924,2,135,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.9530808080808081,2025-01-03 21:07:03.094323,2025-01-03 21:07:06.088672,0 days 00:00:02.994349,1,50,,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.8776313200865631,2025-01-03 21:07:06.088982,2025-01-03 21:07:13.318471,0 days 00:00:07.229489,4,80,15.0,,,,,,,,,,,140.0,55.0,,,,,,,COMPLETE
80,80,0.6629126261142129,2025-01-03 21:07:13.318857,2025-01-03 21:07:37.769694,0 days 00:00:24.450837,8,15,110.0,,,,,,,,,,,65.0,20.0,90.0,110.0,120.0,45.0,,,COMPLETE
81,81,0.9593367602739349,2025-01-03 21:07:37.770116,2025-01-03 21:07:42.469213,0 days 00:00:04.699097,2,95,90.0,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.9635251503741822,2025-01-03 21:07:42.469656,2025-01-03 21:07:48.410177,0 days 00:00:05.940521,3,100,80.0,,,,,,,,,,,185.0,,,,,,,,COMPLETE
83,83,0.94939034804983,2025-01-03 21:07:48.410868,2025-01-03 21:07:55.200269,0 days 00:00:06.789401,3,120,75.0,,,,,,,,,,,190.0,,,,,,,,COMPLETE
84,84,0.9504362489918616,2025-01-03 21:07:55.200717,2025-01-03 21:07:58.949533,0 days 00:00:03.748816,1,105,,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.9564489112227805,2025-01-03 21:07:58.949857,2025-01-03 21:08:02.888535,0 days 00:00:03.938678,2,115,70.0,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.8375793518209155,2025-01-03 21:08:02.888865,2025-01-03 21:08:13.442104,0 days 00:00:10.553239,5,90,100.0,,,,,,,,,,,200.0,170.0,45.0,,,,,,COMPLETE
87,87,0.9533328148090534,2025-01-03 21:08:13.442540,2025-01-03 21:08:19.301245,0 days 00:00:05.858705,3,110,50.0,,,,,,,,,,,175.0,,,,,,,,COMPLETE
88,88,0.877707972270364,2025-01-03 21:08:19.301620,2025-01-03 21:08:27.411903,0 days 00:00:08.110283,4,65,80.0,,,,,,,,,,,115.0,140.0,,,,,,,COMPLETE
89,89,0.5708323400796427,2025-01-03 21:08:27.412263,2025-01-03 21:09:24.908040,0 days 00:00:57.495777,13,85,100.0,165.0,150.0,95.0,,,,,,,,150.0,30.0,105.0,185.0,90.0,200.0,170.0,155.0,COMPLETE
90,90,0.3860408104405509,2025-01-03 21:09:24.908797,2025-01-03 21:10:05.291461,0 days 00:00:40.382664,20,100,35.0,50.0,45.0,140.0,195.0,70.0,15.0,100.0,200.0,5.0,195.0,135.0,55.0,65.0,60.0,30.0,85.0,50.0,60.0,COMPLETE
91,91,0.9601532059560471,2025-01-03 21:10:05.292230,2025-01-03 21:10:11.174969,0 days 00:00:05.882739,3,95,90.0,,,,,,,,,,,165.0,,,,,,,,COMPLETE
92,92,0.9542066234421711,2025-01-03 21:10:11.175376,2025-01-03 21:10:15.980850,0 days 00:00:04.805474,2,100,110.0,,,,,,,,,,,,,,,,,,,COMPLETE
93,93,0.9573955477635524,2025-01-03 21:10:15.981214,2025-01-03 21:10:19.583073,0 days 00:00:03.601859,1,110,,,,,,,,,,,,,,,,,,,,COMPLETE
94,94,0.9623346573815219,2025-01-03 21:10:19.583442,2025-01-03 21:10:25.719229,0 days 00:00:06.135787,3,125,80.0,,,,,,,,,,,185.0,,,,,,,,COMPLETE
95,95,0.96,2025-01-03 21:10:25.719574,2025-01-03 21:10:29.628756,0 days 00:00:03.909182,2,140,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
96,96,0.967543956958234,2025-01-03 21:10:29.629123,2025-01-03 21:10:33.416165,0 days 00:00:03.787042,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
97,97,0.9606862745098039,2025-01-03 21:10:33.416509,2025-01-03 21:10:37.102050,0 days 00:00:03.685541,1,145,,,,,,,,,,,,,,,,,,,,COMPLETE
98,98,0.9615436241610738,2025-01-03 21:10:37.102406,2025-01-03 21:10:41.223382,0 days 00:00:04.120976,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
99,99,0.960444034306807,2025-01-03 21:10:41.223702,2025-01-03 21:10:45.254772,0 days 00:00:04.031070,2,120,70.0,,,,,,,,,,,,,,,,,,,COMPLETE
100,100,0.9522829131652661,2025-01-03 21:10:45.255146,2025-01-03 21:10:49.021531,0 days 00:00:03.766385,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
101,101,0.9580648339737905,2025-01-03 21:10:49.021859,2025-01-03 21:10:53.056594,0 days 00:00:04.034735,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
102,102,0.9624705757961926,2025-01-03 21:10:53.056974,2025-01-03 21:10:57.597695,0 days 00:00:04.540721,2,125,80.0,,,,,,,,,,,,,,,,,,,COMPLETE
103,103,0.9574652198107958,2025-01-03 21:10:57.598077,2025-01-03 21:11:01.717798,0 days 00:00:04.119721,2,115,80.0,,,,,,,,,,,,,,,,,,,COMPLETE
104,104,0.9526285240464345,2025-01-03 21:11:01.718204,2025-01-03 21:11:06.523572,0 days 00:00:04.805368,2,125,90.0,,,,,,,,,,,,,,,,,,,COMPLETE
105,105,0.9583997785160576,2025-01-03 21:11:06.524021,2025-01-03 21:11:13.197215,0 days 00:00:06.673194,3,145,80.0,,,,,,,,,,,190.0,,,,,,,,COMPLETE
106,106,0.9518791980720915,2025-01-03 21:11:13.197649,2025-01-03 21:11:19.853654,0 days 00:00:06.656005,4,125,60.0,,,,,,,,,,,180.0,45.0,,,,,,,COMPLETE
107,107,0.9563758389261745,2025-01-03 21:11:19.854030,2025-01-03 21:11:24.737578,0 days 00:00:04.883548,2,155,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
108,108,0.955077519379845,2025-01-03 21:11:24.737949,2025-01-03 21:11:30.708112,0 days 00:00:05.970163,3,35,70.0,,,,,,,,,,,195.0,,,,,,,,COMPLETE
109,109,0.9552219102127928,2025-01-03 21:11:30.708519,2025-01-03 21:11:34.699000,0 days 00:00:03.990481,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
110,110,0.9602040676008305,2025-01-03 21:11:34.699366,2025-01-03 21:11:39.495870,0 days 00:00:04.796504,2,105,95.0,,,,,,,,,,,,,,,,,,,COMPLETE
111,111,0.9552978907117307,2025-01-03 21:11:39.496255,2025-01-03 21:11:43.597665,0 days 00:00:04.101410,1,135,,,,,,,,,,,,,,,,,,,,COMPLETE
112,112,0.9557118927973199,2025-01-03 21:11:43.598211,2025-01-03 21:11:47.378939,0 days 00:00:03.780728,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
113,113,0.9634314602028765,2025-01-03 21:11:47.379307,2025-01-03 21:11:51.522383,0 days 00:00:04.143076,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
